               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               6.384,              11.379,              5.7211,            0.005895,            0.019784,           0.0019512,           0.0004465,                   0,                   0,                   0,            0.066435,            0.002745,            0.002745
                   1,              3.1262,              3.8611,              2.9568,             0.10916,             0.47545,             0.14853,            0.080656,                   0,                   0,                   0,            0.032729,           0.0054969,           0.0054969
                   2,               2.242,              3.0603,              1.9748,             0.14109,             0.46691,             0.22259,             0.10449,                   0,                   0,                   0,            0.007548,            0.007548,            0.007548
                   3,              1.9285,               2.672,              1.6815,             0.12193,              0.5431,             0.18141,             0.10882,                   0,                   0,                   0,            0.007548,            0.007548,            0.007548
                   4,               1.758,              2.5682,              1.5759,             0.19821,             0.43763,             0.22887,             0.16519,                   0,                   0,                   0,            0.007542,            0.007542,            0.007542
                   5,              1.6528,              2.4397,              1.5196,             0.18152,             0.51601,             0.17939,             0.12534,                   0,                   0,                   0,           0.0075361,           0.0075361,           0.0075361
                   6,              1.5704,              2.3063,              1.4407,             0.17587,             0.54709,             0.24101,             0.16775,                   0,                   0,                   0,           0.0075301,           0.0075301,           0.0075301
                   7,              1.5062,              2.2213,              1.4115,             0.21079,             0.51565,             0.26343,             0.21231,                   0,                   0,                   0,           0.0075241,           0.0075241,           0.0075241
                   8,              1.4559,              2.1006,              1.3725,             0.19577,             0.53634,             0.26377,             0.19871,                   0,                   0,                   0,           0.0075181,           0.0075181,           0.0075181
                   9,               1.401,              2.0561,              1.3492,             0.31176,             0.46414,             0.34028,             0.27677,                   0,                   0,                   0,           0.0075121,           0.0075121,           0.0075121
                  10,              1.3561,              2.0289,              1.3403,             0.26461,             0.50593,              0.2764,             0.21599,                   0,                   0,                   0,           0.0075061,           0.0075061,           0.0075061
                  11,              1.3442,              1.9381,              1.3133,             0.34655,             0.47907,             0.35327,              0.2853,                   0,                   0,                   0,           0.0075001,           0.0075001,           0.0075001
                  12,              1.3259,              1.9527,              1.3269,             0.30894,             0.56912,             0.35818,             0.29277,                   0,                   0,                   0,           0.0074941,           0.0074941,           0.0074941
                  13,              1.2825,              1.9069,              1.2909,             0.36992,              0.4959,             0.39633,             0.31902,                   0,                   0,                   0,           0.0074882,           0.0074882,           0.0074882
                  14,              1.2649,              1.8475,              1.3026,             0.41388,               0.524,             0.44861,             0.35401,                   0,                   0,                   0,           0.0074822,           0.0074822,           0.0074822
                  15,              1.2259,              1.8096,              1.2764,             0.37911,             0.54594,             0.44406,             0.36513,                   0,                   0,                   0,           0.0074762,           0.0074762,           0.0074762
                  16,              1.2207,              1.7812,              1.2735,             0.40185,             0.56993,             0.43919,             0.36977,                   0,                   0,                   0,           0.0074702,           0.0074702,           0.0074702
                  17,              1.2189,              1.7705,              1.2725,             0.43743,             0.56324,             0.47005,             0.38241,                   0,                   0,                   0,           0.0074642,           0.0074642,           0.0074642
                  18,              1.1825,              1.7727,              1.2537,             0.38446,             0.55206,             0.38368,             0.31839,                   0,                   0,                   0,           0.0074582,           0.0074582,           0.0074582
