                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98533,                 2.6004,                 1.0567,                0.26621,                0.47668,                0.30809,                0.27389,                0.45309,                 1.4321,                 0.8266,               0.066931,              0.0028132,              0.0028132
                      2,                0.76193,                 1.5644,                0.93658,                 0.3158,                0.60941,                0.36942,                 0.3161,                0.50746,                 1.3927,                0.83637,               0.033404,              0.0054633,              0.0054633
                      3,                0.79952,                  1.454,                0.96096,                0.38325,                0.47323,                0.37081,                0.32056,                0.52857,                 1.5564,                0.85291,              0.0073235,              0.0073235,              0.0073235
                      4,                0.74336,                 1.3204,                0.93024,                 0.2617,                0.54617,                0.32927,                0.28306,                0.48918,                 1.5792,                0.83343,              0.0070652,              0.0070652,              0.0070652
                      5,                0.64567,                 1.2272,                0.90071,                0.45085,                0.56943,                0.52042,                0.45781,                0.46584,                 1.0996,                 0.8237,              0.0068069,              0.0068069,              0.0068069
                      6,                 0.6156,                 1.1137,                0.89417,                0.45941,                 0.6092,                 0.5199,                0.44913,                0.50919,                  1.049,                0.84242,              0.0065486,              0.0065486,              0.0065486
                      7,                0.57116,                 1.1262,                0.87692,                0.47223,                0.60261,                0.53516,                0.46969,                0.47673,                 1.1129,                0.81702,              0.0062904,              0.0062904,              0.0062904
                      8,                0.54772,                 1.0951,                0.87171,                0.45254,                0.54336,                0.50114,                0.44924,                0.43206,                 1.1256,                0.81841,              0.0060321,              0.0060321,              0.0060321
                      9,                0.52033,                 1.0168,                0.86105,                0.47777,                0.56692,                0.53767,                0.49115,                0.36662,                 1.0139,                0.80146,              0.0057738,              0.0057738,              0.0057738
                     10,                 0.5097,                 1.0063,                0.85553,                0.44953,                0.66198,                0.57586,                0.52497,                0.37822,                0.96921,                0.80446,              0.0055155,              0.0055155,              0.0055155
                     11,                0.48833,                  0.965,                0.85561,                0.56834,                0.60374,                 0.5997,                0.55207,                0.36585,                 0.9057,                0.80773,              0.0052573,              0.0052573,              0.0052573
                     12,                0.48606,                0.95251,                 0.8582,                0.53793,                0.61977,                0.60865,                 0.5652,                0.35284,                0.90461,                0.79896,               0.004999,               0.004999,               0.004999
                     13,                0.46828,                0.92838,                0.84749,                 0.5688,                 0.6401,                0.62496,                0.57938,                0.34919,                0.87893,                0.79664,              0.0047407,              0.0047407,              0.0047407
                     14,                0.44871,                0.88886,                 0.8424,                0.47593,                0.65067,                 0.5983,                0.37829,                 1.2041,                 1.0435,                 1.2321,              0.0044824,              0.0044824,              0.0044824
                     15,                0.43903,                 0.8647,                0.83841,                0.56657,                0.60556,                0.61272,                0.57049,                0.33104,                0.90915,                0.78919,              0.0042242,              0.0042242,              0.0042242
                     16,                0.42912,                0.82839,                0.83948,                0.60878,                0.60604,                0.62559,                0.58442,                0.34221,                0.90705,                0.79892,              0.0039659,              0.0039659,              0.0039659
                     17,                0.41481,                0.79938,                0.83546,                0.51683,                0.67132,                0.64346,                0.60508,                0.31337,                0.87898,                0.79312,              0.0037076,              0.0037076,              0.0037076
                     18,                0.39708,                 0.7721,                0.82535,                0.54061,                0.68226,                0.64812,                0.61339,                0.30662,                0.86183,                0.79373,              0.0034494,              0.0034494,              0.0034494
                     19,                0.38883,                0.73164,                0.82501,                0.64257,                0.61975,                 0.6718,                0.63315,                0.32057,                0.86503,                0.79952,              0.0031911,              0.0031911,              0.0031911
                     20,                0.36939,                 0.7254,                0.81853,                0.64195,                0.64374,                0.66917,                0.63548,                0.28917,                0.81793,                 0.7801,              0.0029328,              0.0029328,              0.0029328
                     21,                0.29798,                0.63315,                0.78469,                0.65945,                 0.6301,                0.66119,                0.62518,                0.29337,                0.83312,                 0.7884,              0.0026745,              0.0026745,              0.0026745
                     22,                0.28579,                0.61241,                0.78277,                0.63677,                0.66944,                0.68727,                 0.6503,                0.29343,                0.80424,                0.78103,              0.0024163,              0.0024163,              0.0024163
                     23,                0.27965,                0.56671,                0.77324,                0.63677,                0.67562,                0.70692,                0.67586,                0.27596,                0.80256,                0.78288,               0.002158,               0.002158,               0.002158
                     24,                0.27159,                0.51467,                0.77219,                0.60749,                0.71777,                0.69403,                0.65887,                0.28912,                0.81642,                0.79402,              0.0018997,              0.0018997,              0.0018997
                     25,                0.26803,                0.50187,                0.77125,                0.66032,                0.70402,                0.71293,                0.68373,                0.27379,                0.82225,                 0.7857,              0.0016414,              0.0016414,              0.0016414
                     26,                0.25667,                0.45781,                0.76513,                0.67058,                0.65786,                 0.7134,                0.67979,                0.27567,                0.80855,                0.78628,              0.0013832,              0.0013832,              0.0013832
                     27,                0.24791,                0.43795,                0.76532,                0.70222,                0.68833,                 0.7341,                0.70634,                0.26457,                  0.803,                0.78731,              0.0011249,              0.0011249,              0.0011249
                     28,                0.24161,                0.39772,                0.76493,                0.68126,                0.68917,                0.72499,                0.69489,                0.26455,                0.82632,                0.78524,             0.00086663,             0.00086663,             0.00086663
                     29,                0.23591,                0.37968,                0.76907,                 0.6995,                0.68925,                0.73555,                0.70414,                0.27258,                0.80117,                0.79335,             0.00060835,             0.00060835,             0.00060835
                     30,                0.23152,                0.33996,                0.76303,                0.73838,                0.68042,                0.74806,                0.71945,                0.25813,                0.80485,                   0.79,             0.00035008,             0.00035008,             0.00035008
