                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0036,                 2.3021,                0.93581,                0.27199,                0.47799,                 0.2745,                0.23647,                0.54619,                 1.5668,                0.76559,               0.066795,              0.0025724,              0.0025724
                      2,                 0.7828,                 1.3759,                0.82806,                0.28287,                0.34221,                0.27714,                0.22366,                0.68502,                 1.6515,                0.78338,               0.033148,              0.0049957,              0.0049957
                      3,                0.73156,                 1.2815,                0.81549,                0.30899,                0.53764,                0.35828,                0.30268,                0.54971,                 1.4222,                0.74588,              0.0067164,              0.0067164,              0.0067164
                      4,                0.68986,                 1.1626,                0.80108,                0.30728,                 0.6552,                0.42542,                0.35851,                0.57517,                  1.507,                0.76039,              0.0064797,              0.0064797,              0.0064797
                      5,                0.66725,                 1.1432,                0.80767,                0.38986,                0.58501,                0.45257,                0.37893,                0.59122,                 1.1097,                0.77984,              0.0062429,              0.0062429,              0.0062429
                      6,                0.62666,                 1.0918,                0.79837,                0.39159,                0.55384,                0.43649,                0.37784,                0.48674,                 1.1015,                0.75525,              0.0060061,              0.0060061,              0.0060061
                      7,                0.59441,                 1.0492,                0.78562,                0.34989,                0.59558,                0.41279,                 0.3567,                0.48386,                 1.1208,                0.73816,              0.0057693,              0.0057693,              0.0057693
                      8,                0.57824,                 1.0429,                0.77772,                 0.4192,                0.62237,                0.49593,                 0.4475,                0.43363,                 1.0058,                0.73453,              0.0055325,              0.0055325,              0.0055325
                      9,                0.54565,                  1.002,                0.77377,                0.44234,                0.59523,                0.52738,                 0.4733,                0.45299,                 1.0293,                0.74424,              0.0052958,              0.0052958,              0.0052958
                     10,                0.52732,                0.98222,                0.76562,                0.48338,                0.63169,                0.55541,                0.36166,                 1.1669,                 1.0246,                 1.0763,               0.005059,               0.005059,               0.005059
                     11,                0.52694,                0.94276,                0.77696,                0.48325,                0.65893,                0.58721,                0.54047,                0.38191,                 0.8759,                0.72114,              0.0048222,              0.0048222,              0.0048222
                     12,                 0.5117,                0.91718,                0.76394,                0.48603,                0.57104,                0.54327,                0.49629,                0.39333,                0.94238,                0.72317,              0.0045854,              0.0045854,              0.0045854
                     13,                0.50287,                0.92534,                0.76866,                0.50295,                0.64197,                0.61662,                0.57163,                0.37398,                0.86568,                 0.7186,              0.0043487,              0.0043487,              0.0043487
                     14,                0.48259,                0.91055,                0.75816,                0.57896,                0.56305,                0.60097,                0.54782,                0.38757,                 0.8446,                0.71951,              0.0041119,              0.0041119,              0.0041119
                     15,                0.47064,                0.89151,                 0.7555,                 0.5463,                0.63138,                0.63186,                0.57761,                0.35549,                0.83752,                0.71022,              0.0038751,              0.0038751,              0.0038751
                     16,                 0.4569,                0.84962,                0.75194,                0.58296,                 0.5192,                0.59055,                0.46848,                0.69281,                0.89124,                0.84631,              0.0036383,              0.0036383,              0.0036383
                     17,                0.43634,                0.83583,                0.74257,                0.54759,                0.62839,                0.60695,                0.56825,                 0.3318,                0.83399,                0.70815,              0.0034015,              0.0034015,              0.0034015
                     18,                0.43833,                0.82411,                 0.7483,                0.48263,                0.66326,                0.58788,                0.54874,                0.32706,                0.85278,                   0.71,              0.0031648,              0.0031648,              0.0031648
                     19,                0.42313,                0.80172,                0.74035,                 0.5761,                0.63208,                0.61797,                0.57958,                0.30734,                0.83196,                0.69738,               0.002928,               0.002928,               0.002928
                     20,                0.40965,                0.76989,                0.74038,                0.61158,                 0.5695,                0.62655,                0.59116,                0.29721,                0.80644,                0.69916,              0.0026912,              0.0026912,              0.0026912
                     21,                0.32721,                0.70798,                0.70281,                0.62702,                0.62985,                0.67398,                0.63515,                0.29144,                0.76818,                 0.6964,              0.0024544,              0.0024544,              0.0024544
                     22,                0.32489,                0.68628,                0.70335,                0.51705,                0.63857,                0.59488,                0.55944,                0.30792,                0.85798,                0.70003,              0.0022176,              0.0022176,              0.0022176
                     23,                0.31411,                0.65481,                0.70065,                0.54248,                0.64127,                0.62224,                0.58869,                0.31235,                0.78647,                 0.7071,              0.0019809,              0.0019809,              0.0019809
                     24,                0.30273,                0.61867,                0.69555,                0.54302,                0.71795,                 0.6519,                0.61628,                0.29939,                0.75872,                  0.704,              0.0017441,              0.0017441,              0.0017441
                     25,                0.29418,                0.59905,                0.69618,                0.60535,                0.65053,                0.67609,                0.64341,                0.27713,                0.75915,                0.69558,              0.0015073,              0.0015073,              0.0015073
                     26,                0.28028,                0.57978,                0.68748,                0.60948,                0.66015,                0.67859,                0.64579,                 0.2761,                0.74158,                0.69608,              0.0012705,              0.0012705,              0.0012705
                     27,                0.27329,                0.55023,                0.68936,                0.62805,                0.64999,                0.68546,                0.65734,                0.26651,                0.73064,                0.69429,              0.0010338,              0.0010338,              0.0010338
                     28,                0.26256,                0.52042,                0.68562,                 0.5937,                0.72162,                0.70158,                0.66587,                 0.2648,                0.74544,                 0.6918,             0.00079698,             0.00079698,             0.00079698
                     29,                0.25787,                0.49552,                0.68911,                0.63107,                 0.6737,                0.70746,                0.67707,                0.25782,                0.71159,                0.69107,              0.0005602,              0.0005602,              0.0005602
                     30,                 0.2444,                0.46552,                0.68173,                 0.6252,                0.68871,                0.71111,                0.68135,                0.25393,                0.71929,                0.69051,             0.00032342,             0.00032342,             0.00032342
