                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98384,                 2.2793,                0.98695,                0.22827,                0.58535,                0.30015,                0.26811,                0.43324,                 1.3245,                0.77688,               0.071221,              0.0027458,              0.0027458
                      2,                0.74649,                 1.3452,                 0.8773,                0.50285,                0.35711,                  0.338,                0.28046,                0.58363,                 1.3269,                0.79796,               0.042025,              0.0053322,              0.0053322
                      3,                0.67305,                 1.2794,                0.83747,                0.38792,                0.53677,                 0.4301,                0.36826,                0.50683,                 1.1298,                0.78452,               0.012646,              0.0077361,              0.0077361
                      4,                0.64602,                 1.2137,                 0.8352,                0.41323,                0.59728,                0.46234,                0.39298,                0.52256,                 1.0532,                0.77755,              0.0078482,              0.0078482,              0.0078482
                      5,                0.65643,                 1.1178,                0.84165,                0.46774,                0.56023,                0.49043,                0.43938,                0.40148,                 1.0134,                0.75955,               0.007561,               0.007561,               0.007561
                      6,                0.56311,                 1.0547,                0.80936,                0.47282,                 0.5324,                0.49423,                0.43956,                0.41712,                0.98659,                0.76399,              0.0072737,              0.0072737,              0.0072737
                      7,                0.55273,                0.98648,                0.81909,                 0.4784,                  0.563,                0.52681,                0.47574,                0.41012,                0.99217,                0.76708,              0.0069864,              0.0069864,              0.0069864
                      8,                 0.5238,                0.95818,                0.80336,                0.53049,                0.57286,                  0.577,                0.52824,                0.37571,                0.88651,                0.75922,              0.0066992,              0.0066992,              0.0066992
                      9,                0.50779,                0.92178,                0.79729,                0.44828,                0.58661,                0.52615,                0.47491,                0.39119,                 1.0234,                0.75041,              0.0064119,              0.0064119,              0.0064119
                     10,                0.49976,                0.91168,                0.79673,                0.44082,                0.65326,                0.54091,                0.47734,                0.45919,                0.89804,                0.79345,              0.0061247,              0.0061247,              0.0061247
                     11,                0.47702,                0.84951,                0.79186,                0.47701,                0.62988,                0.56445,                0.52425,                0.32699,                0.86419,                0.74496,              0.0058374,              0.0058374,              0.0058374
                     12,                0.47017,                0.84878,                0.78643,                0.50386,                0.63439,                0.59744,                0.55078,                0.32829,                0.89954,                0.74221,              0.0055502,              0.0055502,              0.0055502
                     13,                0.44201,                0.84312,                0.78107,                0.55055,                0.57946,                 0.5969,                0.55217,                0.34114,                0.86749,                 0.7443,              0.0052629,              0.0052629,              0.0052629
                     14,                0.43237,                0.79483,                0.77617,                0.59148,                0.61465,                0.63319,                 0.5882,                 0.3327,                0.81011,                0.74242,              0.0049756,              0.0049756,              0.0049756
                     15,                0.43296,                0.77758,                0.78123,                0.57326,                0.62259,                0.64134,                0.50249,                0.74326,                0.85728,                0.91393,              0.0046884,              0.0046884,              0.0046884
                     16,                0.40405,                0.73665,                0.76922,                0.57269,                0.60342,                 0.6249,                0.58496,                0.30104,                0.79724,                0.73123,              0.0044011,              0.0044011,              0.0044011
                     17,                0.39367,                0.71576,                0.76843,                0.58128,                0.63103,                0.64325,                0.60521,                0.28987,                0.79611,                0.74064,              0.0041139,              0.0041139,              0.0041139
                     18,                0.37877,                 0.6834,                0.76178,                0.59468,                 0.6266,                0.65648,                0.62053,                0.29097,                0.77503,                0.74143,              0.0038266,              0.0038266,              0.0038266
                     19,                0.36984,                0.67141,                0.75968,                0.59061,                 0.6591,                0.64449,                0.60754,                 0.2887,                0.77905,                0.74099,              0.0035393,              0.0035393,              0.0035393
                     20,                0.37118,                0.66018,                0.76511,                0.61021,                0.64715,                 0.6682,                0.63343,                0.27852,                0.79063,                0.73532,              0.0032521,              0.0032521,              0.0032521
                     21,                0.28117,                0.57999,                 0.7249,                0.56544,                0.69898,                0.66653,                0.63506,                0.26952,                0.76524,                0.73434,              0.0029648,              0.0029648,              0.0029648
                     22,                 0.2815,                0.54204,                0.72956,                0.59827,                0.68074,                0.67829,                 0.6468,                0.27051,                0.75716,                0.73424,              0.0026776,              0.0026776,              0.0026776
                     23,                0.26976,                0.51096,                0.72559,                0.61362,                  0.648,                0.67717,                0.65017,                0.25533,                 0.7774,                0.73485,              0.0023903,              0.0023903,              0.0023903
                     24,                0.26189,                0.48109,                 0.7203,                0.71776,                0.63942,                0.71305,                0.68265,                0.26277,                0.71074,                0.73191,               0.002103,               0.002103,               0.002103
                     25,                0.26035,                0.44287,                0.72297,                0.63143,                0.72451,                0.71952,                0.68735,                0.26297,                0.73471,                0.73507,              0.0018158,              0.0018158,              0.0018158
                     26,                 0.2446,                0.41882,                0.71432,                0.65469,                0.67244,                0.70997,                0.68024,                0.24836,                0.72277,                0.72871,              0.0015285,              0.0015285,              0.0015285
                     27,                0.24231,                0.40623,                0.71835,                 0.6713,                0.68949,                0.72832,                0.69905,                 0.2499,                0.69496,                0.72991,              0.0012413,              0.0012413,              0.0012413
                     28,                0.23715,                0.38543,                0.71918,                0.69924,                0.70201,                0.72796,                0.69816,                0.23654,                0.70108,                0.72943,             0.00095402,             0.00095402,             0.00095402
                     29,                0.23576,                0.36238,                0.71863,                0.72955,                0.66415,                0.72475,                0.69767,                0.23373,                0.69563,                0.72775,             0.00066676,             0.00066676,             0.00066676
                     30,                0.22355,                0.32105,                0.71268,                0.72346,                0.68925,                0.73924,                0.71045,                0.23279,                0.68686,                0.72748,              0.0003795,              0.0003795,              0.0003795
