                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0029,                 2.4179,                0.98159,                0.26454,                0.58452,                0.31595,                0.27572,                 0.4506,                 1.4442,                0.78099,               0.071543,              0.0030673,              0.0030673
                      2,                0.81418,                 1.4417,                0.87967,                0.30207,                0.47097,                 0.3453,                0.27371,                0.67054,                 1.3498,                0.83231,                0.04265,               0.005957,               0.005957
                      3,                0.72872,                 1.3671,                0.84362,                0.29463,                0.50538,                0.33079,                0.26879,                0.60042,                 1.3221,                0.80626,               0.013553,              0.0086431,              0.0086431
                      4,                 0.6567,                 1.2706,                0.82328,                0.26987,                0.55367,                0.34051,                0.29605,                0.44397,                 1.5773,                0.75376,               0.008769,               0.008769,               0.008769
                      5,                0.62773,                 1.1686,                0.81641,                0.37978,                0.58352,                0.45046,                0.39093,                 0.4435,                  1.077,                0.75366,              0.0084487,              0.0084487,              0.0084487
                      6,                0.59224,                 1.1019,                0.82499,                0.40482,                0.60321,                0.48417,                0.42798,                0.40965,                  1.083,                0.75585,              0.0081284,              0.0081284,              0.0081284
                      7,                0.57753,                 1.0621,                 0.8145,                0.36793,                0.57662,                0.43085,                0.38345,                0.39839,                 1.1947,                 0.7412,              0.0078081,              0.0078081,              0.0078081
                      8,                0.54372,                  1.029,                0.80086,                0.49898,                0.55208,                0.52824,                0.47462,                0.39283,                0.97201,                0.74721,              0.0074878,              0.0074878,              0.0074878
                      9,                0.51867,                 1.0052,                 0.7968,                0.43056,                0.57988,                0.46487,                0.40435,                0.41972,                 1.1021,                 0.7408,              0.0071674,              0.0071674,              0.0071674
                     10,                0.49405,                0.95033,                0.78412,                0.41949,                0.65701,                0.53824,                0.49182,                0.34259,                0.91398,                0.73089,              0.0068471,              0.0068471,              0.0068471
                     11,                0.49219,                0.93519,                0.79529,                0.50297,                0.61562,                0.57181,                0.37582,                0.96606,                 1.0021,                 1.0214,              0.0065268,              0.0065268,              0.0065268
                     12,                0.46764,                0.90884,                0.77613,                 0.4838,                 0.5984,                0.55411,                0.51061,                0.32026,                0.96354,                0.72585,              0.0062065,              0.0062065,              0.0062065
                     13,                0.45468,                0.87228,                0.78003,                0.55508,                0.59323,                0.60436,                0.40685,                0.90853,                0.96258,                 1.0256,              0.0058861,              0.0058861,              0.0058861
                     14,                0.43027,                0.85301,                0.77045,                0.51293,                0.60213,                0.57988,                0.51538,                0.40279,                0.91914,                0.76539,              0.0055658,              0.0055658,              0.0055658
                     15,                0.42418,                0.85315,                0.77432,                0.64916,                 0.5456,                0.60918,                0.56179,                0.31076,                0.83147,                0.73076,              0.0052455,              0.0052455,              0.0052455
                     16,                0.41261,                0.81097,                0.77015,                0.57619,                0.59783,                0.61152,                 0.5761,                0.28358,                 0.8159,                0.71877,              0.0049252,              0.0049252,              0.0049252
                     17,                0.40171,                0.82093,                0.76105,                0.58492,                0.62535,                0.63555,                0.60035,                0.28272,                0.77971,                0.72171,              0.0046049,              0.0046049,              0.0046049
                     18,                0.37628,                0.74999,                0.75462,                0.61116,                0.62382,                0.63928,                0.59607,                0.30335,                0.78899,                0.73064,              0.0042845,              0.0042845,              0.0042845
                     19,                0.36791,                0.74022,                0.74984,                0.62301,                0.63142,                0.64402,                0.60452,                0.28134,                0.79472,                0.71734,              0.0039642,              0.0039642,              0.0039642
                     20,                0.35447,                0.71308,                0.74932,                0.63882,                0.60517,                0.67378,                0.63267,                0.27017,                0.75197,                0.71647,              0.0036439,              0.0036439,              0.0036439
                     21,                0.28703,                 0.6555,                0.71549,                0.58129,                0.63717,                0.65299,                0.61469,                 0.2854,                0.75655,                0.72202,              0.0033236,              0.0033236,              0.0033236
                     22,                0.28221,                0.62993,                0.71608,                0.53864,                0.72695,                0.65621,                0.62374,                0.25048,                0.76138,                0.71046,              0.0030033,              0.0030033,              0.0030033
                     23,                 0.2654,                0.58765,                0.71384,                0.57874,                0.66558,                0.67102,                0.64196,                0.25378,                0.78577,                0.71439,              0.0026829,              0.0026829,              0.0026829
                     24,                0.26035,                 0.5557,                0.71069,                0.59383,                0.70769,                 0.6852,                0.65377,                0.24843,                0.73957,                0.70992,              0.0023626,              0.0023626,              0.0023626
                     25,                0.25542,                0.52253,                0.71098,                0.67913,                0.64039,                0.70622,                0.67175,                0.25247,                0.72862,                0.71288,              0.0020423,              0.0020423,              0.0020423
                     26,                0.23835,                0.50181,                0.70122,                 0.6258,                0.69853,                0.70284,                0.67389,                0.24461,                0.71128,                 0.7132,               0.001722,               0.001722,               0.001722
                     27,                0.23625,                0.47634,                0.70107,                0.64165,                0.68872,                0.68723,                0.65688,                0.23756,                0.73043,                0.71661,              0.0014016,              0.0014016,              0.0014016
                     28,                0.23056,                0.44618,                0.70427,                0.67744,                0.70318,                0.71776,                0.69137,                 0.2267,                 0.7044,                0.71035,              0.0010813,              0.0010813,              0.0010813
                     29,                0.22532,                0.42021,                0.70091,                0.66662,                0.68187,                0.70842,                0.68207,                0.22654,                0.72084,                0.71029,               0.000761,               0.000761,               0.000761
                     30,                0.21994,                0.38642,                0.69938,                0.68006,                0.68312,                 0.7137,                0.68817,                0.21936,                 0.7173,                0.70896,             0.00044068,             0.00044068,             0.00044068
