               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.3863,              1.8085,              1.2597,              0.4329,             0.57905,              0.4744,              0.3668,                   0,                   0,                   0,            0.009699,            0.009699,            0.009699
                  40,               1.352,              1.7651,              1.2633,             0.44419,             0.53492,             0.46426,             0.36996,                   0,                   0,                   0,           0.0096911,           0.0096911,           0.0096911
                  41,              1.3595,               1.762,              1.2621,             0.46292,             0.56273,             0.49762,             0.36799,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  42,              1.3662,              1.7522,              1.2664,             0.44639,             0.54863,             0.49892,             0.39454,                   0,                   0,                   0,           0.0096753,           0.0096753,           0.0096753
                  43,              1.3714,              1.7661,              1.2707,             0.45371,                0.54,             0.49135,             0.41195,                   0,                   0,                   0,           0.0096674,           0.0096674,           0.0096674
                  44,              1.3571,              1.7341,              1.2563,             0.48137,              0.5568,             0.51036,             0.37074,                   0,                   0,                   0,           0.0096594,           0.0096594,           0.0096594
                  45,              1.3472,              1.7785,              1.2658,             0.42264,             0.62395,             0.50964,             0.41623,                   0,                   0,                   0,           0.0096515,           0.0096515,           0.0096515
                  46,              1.3465,              1.7194,              1.2475,             0.46212,             0.57077,             0.49435,             0.37515,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  47,              1.3481,              1.7422,              1.2632,             0.44925,             0.57502,             0.49638,             0.36893,                   0,                   0,                   0,           0.0096357,           0.0096357,           0.0096357
                  48,              1.3371,              1.7209,              1.2538,             0.48168,             0.58213,             0.51734,              0.4053,                   0,                   0,                   0,           0.0096278,           0.0096278,           0.0096278
                  49,              1.3227,              1.7049,              1.2311,              0.4656,             0.60626,             0.53944,             0.42165,                   0,                   0,                   0,           0.0096198,           0.0096198,           0.0096198
                  50,              1.3174,              1.7361,              1.2402,             0.45741,             0.59653,             0.50725,             0.40304,                   0,                   0,                   0,           0.0096119,           0.0096119,           0.0096119
                  51,              1.3147,              1.6599,              1.2611,              0.4435,             0.62346,             0.53324,              0.4341,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  52,              1.3242,              1.6855,              1.2664,             0.43735,             0.62908,             0.53926,             0.41963,                   0,                   0,                   0,           0.0095961,           0.0095961,           0.0095961
                  53,              1.3042,              1.6958,              1.2382,             0.51352,             0.52314,             0.54642,             0.44622,                   0,                   0,                   0,           0.0095882,           0.0095882,           0.0095882
                  54,              1.2891,              1.6753,              1.2356,             0.48378,             0.57976,             0.53092,             0.39172,                   0,                   0,                   0,           0.0095802,           0.0095802,           0.0095802
                  55,              1.3094,              1.6932,              1.2538,             0.43744,             0.59998,             0.52511,             0.42366,                   0,                   0,                   0,           0.0095723,           0.0095723,           0.0095723
                  56,              1.3003,              1.6726,              1.2538,             0.48368,             0.53251,             0.51223,             0.40717,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  57,              1.3179,              1.6976,              1.2534,             0.46861,             0.62254,             0.55254,             0.44046,                   0,                   0,                   0,           0.0095565,           0.0095565,           0.0095565
                  58,              1.3023,              1.6623,              1.2528,             0.44515,              0.5781,             0.51529,             0.42855,                   0,                   0,                   0,           0.0095486,           0.0095486,           0.0095486
                  59,              1.2876,              1.6581,              1.2406,             0.49921,             0.58031,             0.53203,             0.39222,                   0,                   0,                   0,           0.0095406,           0.0095406,           0.0095406
                  60,              1.2946,              1.6594,              1.2414,             0.52493,             0.56436,             0.54596,             0.43945,                   0,                   0,                   0,           0.0095327,           0.0095327,           0.0095327
                  61,              1.2656,              1.6449,              1.2239,             0.46889,             0.63331,             0.54473,             0.44433,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  62,               1.212,               1.597,              1.2118,             0.50182,              0.5789,             0.53268,             0.45404,                   0,                   0,                   0,           0.0095169,           0.0095169,           0.0095169
                  63,              1.2042,              1.5929,              1.2216,              0.4913,             0.53838,             0.54134,             0.45048,                   0,                   0,                   0,            0.009509,            0.009509,            0.009509
                  64,              1.1667,              1.5808,              1.2115,             0.51098,              0.5764,             0.55771,             0.48829,                   0,                   0,                   0,            0.009501,            0.009501,            0.009501
                  65,              1.1159,              1.6105,              1.1795,             0.50764,             0.60304,             0.55667,             0.49201,                   0,                   0,                   0,           0.0094931,           0.0094931,           0.0094931
                  66,              1.0906,              1.5887,              1.1956,             0.43281,             0.64248,             0.50919,             0.44772,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  67,              1.0495,              1.5515,              1.1886,             0.49191,              0.5894,              0.5489,             0.48845,                   0,                   0,                   0,           0.0094773,           0.0094773,           0.0094773
                  68,              1.0224,                1.55,              1.1623,             0.49856,             0.54884,             0.53161,             0.46727,                   0,                   0,                   0,           0.0094694,           0.0094694,           0.0094694
                  69,               1.006,              1.5371,              1.1736,             0.47305,             0.58163,              0.5552,             0.49459,                   0,                   0,                   0,           0.0094614,           0.0094614,           0.0094614
                  70,             0.99297,              1.5271,              1.1617,             0.45566,             0.59193,             0.55034,             0.48187,                   0,                   0,                   0,           0.0094535,           0.0094535,           0.0094535
                  71,             0.98207,              1.5481,              1.1858,             0.48458,             0.58179,             0.52574,             0.46847,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  72,             0.94081,              1.5241,              1.1633,             0.43488,             0.61442,             0.51883,             0.46493,                   0,                   0,                   0,           0.0094377,           0.0094377,           0.0094377
                  73,             0.95736,              1.5174,              1.1623,             0.51232,             0.59184,             0.55556,             0.50212,                   0,                   0,                   0,           0.0094298,           0.0094298,           0.0094298
                  74,             0.93557,              1.4437,              1.1522,             0.52888,             0.55613,             0.57183,             0.51349,                   0,                   0,                   0,           0.0094218,           0.0094218,           0.0094218
                  75,             0.92589,              1.5025,              1.1549,             0.49745,             0.58546,             0.55339,             0.49698,                   0,                   0,                   0,           0.0094139,           0.0094139,           0.0094139
                  76,             0.93039,              1.5299,              1.1611,             0.51232,             0.52166,             0.51914,             0.47205,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  77,             0.95383,              1.4946,              1.1601,             0.48649,             0.62909,             0.54307,             0.48822,                   0,                   0,                   0,           0.0093981,           0.0093981,           0.0093981
                  78,             0.91553,              1.4727,              1.1465,             0.50702,             0.57431,             0.55065,             0.49662,                   0,                   0,                   0,           0.0093902,           0.0093902,           0.0093902
