                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9126,                 2.2777,                 1.0022,                0.16875,                0.44961,                0.21918,                0.18851,                0.41626,                 1.5106,                 0.7693,               0.066402,              0.0021788,              0.0021788
                      2,                0.67618,                 1.3044,                0.88295,                0.32881,                0.57956,                0.34901,                0.26746,                0.64068,                 1.0564,                0.83438,               0.032384,              0.0042317,              0.0042317
                      3,                0.57675,                 1.1481,                0.83471,                0.28122,                0.48593,                0.34588,                0.25139,                 0.7617,                  1.051,                0.93612,              0.0056896,              0.0056896,              0.0056896
                      4,                0.49646,                 1.0269,                0.80234,                0.41364,                0.56852,                0.45736,                0.37929,                0.47603,                0.93249,                0.79681,              0.0054895,              0.0054895,              0.0054895
                      5,                0.49074,                0.93475,                0.80121,                0.29294,                0.57811,                0.39299,                0.34997,                0.35532,                 1.0129,                0.74573,              0.0052893,              0.0052893,              0.0052893
                      6,                0.46297,                0.88877,                 0.8081,                0.49755,                0.57231,                0.53967,                0.48114,                0.33572,                0.80579,                0.73833,              0.0050891,              0.0050891,              0.0050891
                      7,                0.43309,                0.84843,                0.78774,                0.46262,                0.62913,                0.55901,                0.49445,                0.37095,                0.78196,                0.75456,              0.0048889,              0.0048889,              0.0048889
                      8,                0.41512,                 0.8053,                0.78388,                0.56086,                 0.5765,                0.57278,                0.51141,                0.36338,                0.77051,                0.74795,              0.0046887,              0.0046887,              0.0046887
                      9,                 0.4084,                0.78528,                0.78552,                0.48504,                0.64357,                0.56497,                0.50814,                0.32075,                 0.7646,                0.73945,              0.0044886,              0.0044886,              0.0044886
                     10,                0.39192,                0.77043,                0.78323,                0.48877,                0.59184,                 0.5401,                0.48843,                0.32893,                0.78257,                 0.7375,              0.0042884,              0.0042884,              0.0042884
                     11,                0.39437,                0.75744,                0.77798,                0.53299,                0.59047,                0.57717,                0.53768,                0.28039,                 0.7452,                0.72346,              0.0040882,              0.0040882,              0.0040882
                     12,                0.37774,                0.71476,                0.76722,                0.49231,                 0.6273,                0.59887,                0.55612,                 0.2737,                0.71469,                0.71928,               0.003888,               0.003888,               0.003888
                     13,                 0.3629,                0.68834,                0.77342,                0.48435,                0.64421,                0.59948,                0.55688,                0.27545,                 0.6948,                0.73143,              0.0036878,              0.0036878,              0.0036878
                     14,                0.34522,                0.66203,                0.75724,                 0.5529,                0.66315,                0.60305,                0.56875,                0.26506,                0.69206,                0.72984,              0.0034877,              0.0034877,              0.0034877
                     15,                0.33985,                0.64892,                0.75803,                0.59107,                0.61148,                0.61838,                0.58052,                0.27873,                0.68901,                0.72992,              0.0032875,              0.0032875,              0.0032875
                     16,                0.33322,                0.62987,                0.75795,                0.58626,                0.60701,                0.60919,                 0.5722,                0.25345,                0.68615,                0.71832,              0.0030873,              0.0030873,              0.0030873
                     17,                0.32602,                0.62348,                0.75194,                0.63972,                0.60593,                0.66298,                0.63168,                0.24387,                0.63406,                0.71329,              0.0028871,              0.0028871,              0.0028871
                     18,                0.32117,                0.60032,                0.75084,                0.57716,                0.67611,                  0.661,                0.62649,                0.24949,                0.63083,                0.72242,              0.0026869,              0.0026869,              0.0026869
                     19,                0.30932,                0.55949,                0.75038,                0.60773,                0.64568,                 0.6607,                0.62111,                0.24728,                0.66305,                0.72056,              0.0024868,              0.0024868,              0.0024868
                     20,                0.29733,                0.54942,                0.73989,                0.64975,                0.63541,                0.66956,                 0.6393,                0.21922,                 0.6305,                0.70814,              0.0022866,              0.0022866,              0.0022866
                     21,                0.23517,                0.47194,                  0.707,                0.59398,                0.64136,                0.65835,                 0.6272,                0.24256,                0.64692,                0.72175,              0.0020864,              0.0020864,              0.0020864
                     22,                0.23677,                0.46532,                0.70855,                0.61627,                0.67175,                 0.6794,                0.64882,                0.22085,                0.63352,                0.70845,              0.0018862,              0.0018862,              0.0018862
                     23,                0.22426,                0.42257,                0.71022,                0.57617,                0.69576,                0.66863,                0.63789,                0.22778,                0.65585,                0.71576,               0.001686,               0.001686,               0.001686
                     24,                 0.2175,                0.39244,                0.70273,                0.55903,                 0.7515,                0.68955,                0.65928,                0.21924,                0.60986,                0.71156,              0.0014859,              0.0014859,              0.0014859
                     25,                0.21527,                0.37365,                0.70212,                0.67245,                0.68813,                0.73029,                0.70111,                0.20747,                 0.5918,                0.70894,              0.0012857,              0.0012857,              0.0012857
                     26,                0.20408,                0.35036,                 0.6968,                0.65881,                0.66287,                0.71866,                0.68885,                0.20746,                0.60469,                 0.7114,              0.0010855,              0.0010855,              0.0010855
                     27,                0.20034,                0.33226,                0.70326,                0.64215,                0.66046,                0.69101,                0.66454,                0.19909,                0.64875,                0.70546,             0.00088531,             0.00088531,             0.00088531
                     28,                0.19598,                0.30534,                0.69638,                 0.6592,                0.67281,                0.72291,                0.69589,                0.20147,                0.62704,                0.70874,             0.00068513,             0.00068513,             0.00068513
                     29,                0.19489,                0.29462,                0.69818,                0.65686,                0.67691,                0.71221,                0.68441,                0.20186,                0.64197,                0.71247,             0.00048495,             0.00048495,             0.00048495
                     30,                0.18759,                0.26016,                0.69294,                0.69887,                0.67675,                0.72211,                0.69509,                 0.2003,                0.61999,                0.71134,             0.00028477,             0.00028477,             0.00028477
