                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0149,                 2.6812,                 1.0716,                0.15163,                0.50626,                0.23078,                0.18911,                0.58319,                 1.7746,                0.89782,               0.062864,              0.0031285,              0.0031285
                      2,                0.80278,                 1.6044,                0.96805,                0.45584,                0.44797,                0.29626,                0.24186,                0.59883,                 2.4066,                0.89501,               0.025218,              0.0060758,              0.0060758
                      3,                0.86393,                 1.5828,                 0.9762,                0.26176,                0.55698,                0.32559,                0.23723,                 0.8377,                 1.4286,                0.99647,              0.0072583,              0.0072583,              0.0072583
                      4,                0.72624,                 1.3632,                0.93892,                 0.3291,                0.60637,                0.45994,                0.37839,                0.55072,                 1.2874,                0.88024,              0.0070025,              0.0070025,              0.0070025
                      5,                0.64237,                 1.2792,                0.91073,                0.37855,                 0.5275,                0.44027,                0.37756,                0.48603,                 1.1743,                0.87374,              0.0067466,              0.0067466,              0.0067466
                      6,                0.61974,                 1.2068,                0.90642,                0.37531,                0.57528,                0.45472,                0.39515,                 0.4533,                 1.1505,                0.85673,              0.0064908,              0.0064908,              0.0064908
                      7,                0.55413,                 1.1394,                0.87708,                0.44202,                0.55969,                0.49862,                0.44467,                0.38271,                 1.1348,                0.83156,               0.006235,               0.006235,               0.006235
                      8,                0.53823,                 1.1366,                0.88601,                0.48069,                0.57325,                0.52507,                 0.4669,                 0.3946,                 1.0807,                0.83246,              0.0059791,              0.0059791,              0.0059791
                      9,                0.52255,                 1.0975,                0.87783,                0.51327,                0.52272,                0.55645,                0.49854,                0.38532,                 1.0437,                0.82549,              0.0057233,              0.0057233,              0.0057233
                     10,                0.50445,                 1.0749,                0.87098,                0.42824,                0.59531,                0.48955,                0.44663,                0.35954,                 1.1471,                0.82597,              0.0054674,              0.0054674,              0.0054674
                     11,                0.47793,                 1.0344,                0.85936,                0.43705,                0.57472,                0.54791,                0.49049,                0.37384,                 1.0612,                0.83502,              0.0052116,              0.0052116,              0.0052116
                     12,                0.47583,                 1.0115,                0.87071,                0.54283,                0.59276,                0.60212,                0.47592,                0.61123,                 1.0178,                0.93113,              0.0049558,              0.0049558,              0.0049558
                     13,                0.46278,                0.98769,                0.86688,                0.61507,                0.55835,                0.61189,                0.55982,                 0.3494,                0.93898,                0.82353,              0.0046999,              0.0046999,              0.0046999
                     14,                 0.4492,                0.96562,                0.86281,                0.52081,                0.52263,                0.52832,                0.48805,                0.33093,                  1.039,                0.81796,              0.0044441,              0.0044441,              0.0044441
                     15,                0.43419,                0.96894,                0.85024,                0.52392,                0.59572,                0.59843,                0.55093,                0.31739,                0.94765,                0.81405,              0.0041882,              0.0041882,              0.0041882
                     16,                0.42552,                0.92004,                0.85371,                0.54768,                0.60932,                0.60257,                0.55764,                0.31785,                0.91126,                0.81302,              0.0039324,              0.0039324,              0.0039324
                     17,                0.42515,                0.91171,                 0.8556,                0.54022,                0.61883,                   0.62,                0.58542,                0.28982,                0.89497,                0.80664,              0.0036766,              0.0036766,              0.0036766
                     18,                0.40191,                0.89526,                0.84279,                0.48946,                 0.6314,                0.59375,                0.55632,                0.28861,                0.93288,                0.80862,              0.0034207,              0.0034207,              0.0034207
                     19,                0.38836,                0.83396,                0.83604,                0.58353,                0.58101,                0.62155,                0.58911,                0.27273,                0.89652,                0.80209,              0.0031649,              0.0031649,              0.0031649
                     20,                0.38556,                0.83904,                0.84108,                0.59532,                0.61781,                0.65056,                0.61402,                0.27983,                0.83518,                0.80288,               0.002909,               0.002909,               0.002909
                     21,                0.30127,                0.77865,                0.80506,                0.49722,                0.66423,                0.61583,                0.57984,                 0.2912,                0.91407,                0.80521,              0.0026532,              0.0026532,              0.0026532
                     22,                0.30584,                0.74947,                0.81123,                0.60754,                0.63715,                0.66033,                0.62046,                0.29156,                0.82776,                0.81334,              0.0023974,              0.0023974,              0.0023974
                     23,                0.28206,                0.71093,                0.79799,                0.57043,                0.62818,                0.66314,                0.62807,                0.27223,                0.82933,                0.80405,              0.0021415,              0.0021415,              0.0021415
                     24,                0.27588,                0.66635,                0.79545,                0.60723,                0.64466,                0.64905,                0.61753,                0.26765,                0.86837,                0.79812,              0.0018857,              0.0018857,              0.0018857
                     25,                0.27245,                0.65513,                0.79403,                0.58657,                0.67055,                0.68651,                 0.6545,                0.24911,                0.82376,                0.79744,              0.0016298,              0.0016298,              0.0016298
                     26,                0.26187,                0.62952,                0.79347,                0.60998,                0.67023,                0.68565,                0.65734,                0.25728,                0.77926,                0.80566,               0.001374,               0.001374,               0.001374
                     27,                0.25459,                0.58345,                0.79359,                0.67817,                0.62248,                0.68632,                0.65982,                 0.2365,                0.77174,                0.79133,              0.0011182,              0.0011182,              0.0011182
                     28,                0.24736,                0.57429,                0.79497,                0.64262,                0.69552,                0.70789,                0.67786,                0.24143,                0.79859,                0.79859,             0.00086231,             0.00086231,             0.00086231
                     29,                0.24232,                0.54737,                0.78964,                0.68827,                0.69857,                0.71322,                 0.6873,                0.23083,                0.74843,                0.79411,             0.00060647,             0.00060647,             0.00060647
                     30,                0.23336,                0.51555,                0.78836,                0.69042,                 0.6662,                0.71718,                 0.6922,                0.22743,                 0.7587,                0.79178,             0.00035063,             0.00035063,             0.00035063
