                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1479,                 3.1365,                 1.1974,                0.23302,                0.38375,                0.23032,                0.16315,                 1.0248,                 1.9566,                 1.1292,               0.071885,              0.0024614,              0.0024614
                      2,                 0.8623,                  1.827,                 1.0492,                0.28639,                0.35373,                 0.2602,                0.18026,                0.99152,                 2.1698,                 1.1412,               0.043376,              0.0047799,              0.0047799
                      3,                0.84868,                 1.6463,                 1.0315,                 0.2868,                0.56225,                0.39353,                0.30691,                0.69872,                  1.471,                0.98067,               0.014704,              0.0069347,              0.0069347
                      4,                0.75482,                 1.5511,                0.98596,                0.33847,                0.52553,                0.39668,                0.33598,                0.52566,                 1.3946,                0.92177,              0.0072533,              0.0072533,              0.0072533
                      5,                0.69495,                 1.4133,                 0.9726,                0.36531,                0.47909,                0.38891,                0.32881,                0.54054,                 1.3591,                0.93465,              0.0072533,              0.0072533,              0.0072533
                      6,                0.65873,                 1.3063,                0.97349,                0.37884,                0.56329,                 0.4529,                0.28631,                 1.2409,                 1.3061,                 1.3527,              0.0069878,              0.0069878,              0.0069878
                      7,                0.61237,                 1.2677,                0.96028,                0.41745,                0.57922,                0.48918,                 0.4301,                0.44444,                  1.212,                0.89958,              0.0067222,              0.0067222,              0.0067222
                      8,                0.57982,                 1.2117,                0.94938,                 0.4596,                0.58015,                0.53146,                0.46383,                0.47131,                 1.1639,                0.90172,              0.0064567,              0.0064567,              0.0064567
                      9,                0.56426,                 1.1756,                0.95097,                  0.447,                0.54148,                0.49476,                0.43348,                0.44383,                 1.1602,                0.90587,              0.0061911,              0.0061911,              0.0061911
                     10,                0.53693,                  1.164,                0.93149,                0.41598,                0.55061,                0.44578,                0.40069,                0.39561,                 1.2659,                 0.8808,              0.0059256,              0.0059256,              0.0059256
                     11,                0.52686,                 1.0913,                0.93501,                 0.4875,                0.59089,                0.56217,                0.51333,                0.36955,                  1.071,                0.87275,                0.00566,                0.00566,                0.00566
                     12,                0.49745,                 1.0673,                0.91917,                 0.5245,                0.61945,                0.56227,                0.52172,                0.34775,                 1.0481,                0.87044,              0.0053945,              0.0053945,              0.0053945
                     13,                0.49805,                 1.0769,                0.92317,                0.47531,                 0.6286,                0.57123,                0.52043,                0.37164,                 1.0732,                0.88324,              0.0051289,              0.0051289,              0.0051289
                     14,                0.47785,                 1.0288,                0.91072,                0.54644,                0.54323,                0.56191,                0.51822,                0.34121,                 1.0742,                0.87642,              0.0048634,              0.0048634,              0.0048634
                     15,                0.47318,                0.99268,                0.92819,                0.56287,                0.56494,                0.57078,                 0.5277,                0.33773,                  1.037,                0.87059,              0.0045978,              0.0045978,              0.0045978
                     16,                0.43534,                0.96572,                 0.9004,                0.50214,                0.60054,                0.58849,                 0.5485,                0.31956,                 1.0512,                 0.8691,              0.0043323,              0.0043323,              0.0043323
                     17,                 0.4385,                0.92995,                0.90634,                0.46697,                0.66989,                0.59781,                0.55316,                0.35688,                 1.0033,                0.87637,              0.0040667,              0.0040667,              0.0040667
                     18,                0.41747,                 0.9437,                0.89731,                0.56732,                0.59386,                0.59816,                0.55475,                0.34292,                 1.0243,                0.87139,              0.0038011,              0.0038011,              0.0038011
                     19,                0.41581,                0.89597,                0.90278,                0.54658,                0.60468,                0.59444,                0.55373,                0.31046,                0.98606,                0.85851,              0.0035356,              0.0035356,              0.0035356
                     20,                0.40303,                0.87801,                0.90053,                 0.5766,                0.60154,                0.62027,                0.58381,                0.29712,                0.96121,                0.85251,                0.00327,                0.00327,                0.00327
                     21,                0.31998,                0.82478,                0.85756,                0.64433,                0.59214,                0.64048,                0.60214,                0.30619,                0.95291,                 0.8639,              0.0030045,              0.0030045,              0.0030045
                     22,                0.31451,                0.78549,                0.85736,                   0.62,                0.57014,                0.63621,                0.59739,                0.31675,                0.91929,                0.86225,              0.0027389,              0.0027389,              0.0027389
                     23,                0.30612,                0.75441,                0.85886,                0.59463,                0.64973,                0.65891,                0.61782,                0.30479,                0.92833,                 0.8643,              0.0024734,              0.0024734,              0.0024734
                     24,                0.29031,                0.71693,                 0.8484,                0.61401,                0.62743,                0.66305,                0.63559,                0.27032,                0.91163,                0.85772,              0.0022078,              0.0022078,              0.0022078
                     25,                0.28383,                0.68268,                0.84918,                0.65305,                0.59876,                0.66989,                0.63495,                0.27798,                0.92085,                0.85823,              0.0019423,              0.0019423,              0.0019423
                     26,                0.27259,                0.64749,                0.84484,                0.57691,                0.67419,                0.66153,                 0.6308,                0.27006,                0.91897,                0.85214,              0.0016767,              0.0016767,              0.0016767
                     27,                 0.2698,                0.61081,                0.84356,                0.57973,                0.68324,                0.65275,                0.62496,                0.26733,                0.89762,                 0.8609,              0.0014112,              0.0014112,              0.0014112
                     28,                0.25715,                0.57568,                0.83434,                0.55914,                0.66379,                0.65028,                0.62198,                0.26162,                0.95249,                0.85481,              0.0011456,              0.0011456,              0.0011456
                     29,                0.24728,                0.55032,                0.83586,                0.62406,                0.62063,                0.67609,                0.64929,                 0.2575,                0.87429,                0.85233,             0.00088006,             0.00088006,             0.00088006
                     30,                0.24349,                0.51419,                0.83116,                0.54483,                0.74541,                0.67552,                0.65053,                0.24515,                0.88249,                0.85259,              0.0006145,              0.0006145,              0.0006145
