                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97903,                 1.1792,                 1.3914,                0.98836,                0.36523,                0.60408,                0.43204,                 0.3396,                0.36752,                0.60858,                0.43701,                0.29366,                0.77414,                0.98351,                 1.3486,                0.93825,              0.0011551,              0.0011551,              0.0011551
                     25,                0.97537,                 1.1579,                 1.3704,                0.97415,                0.40211,                0.57734,                0.44671,                0.30195,                0.40297,                0.58264,                0.44941,                0.24216,                 1.1293,                 1.0568,                 1.3888,                 1.0373,               0.001151,               0.001151,               0.001151
                     26,                0.98135,                 1.1644,                 1.3659,                0.98202,                 0.4139,                0.56465,                0.47465,                0.35424,                0.41923,                0.56784,                 0.4746,                 0.2495,                 0.9239,                 1.1563,                 1.4501,                0.97066,              0.0011469,              0.0011469,              0.0011469
                     27,                0.95877,                 1.1701,                 1.3566,                0.97976,                0.44374,                0.52799,                0.45297,                 0.3513,                 0.4492,                0.53136,                0.45824,                0.28346,                 0.8621,                 1.0476,                 1.3988,                0.97635,              0.0011428,              0.0011428,              0.0011428
                     28,                 0.9834,                 1.1606,                 1.3772,                0.98885,                0.38747,                0.62912,                0.48307,                0.37822,                0.38936,                0.63182,                0.48758,                0.29275,                0.82525,                 1.0426,                 1.3695,                0.96163,              0.0011386,              0.0011386,              0.0011386
                     29,                0.95333,                 1.1677,                 1.3625,                0.98426,                0.40396,                0.62846,                0.46502,                0.37209,                0.40593,                0.63116,                0.46932,                0.28226,                0.77895,                  1.072,                 1.3306,                0.95214,              0.0011345,              0.0011345,              0.0011345
                     30,                 0.9404,                 1.1455,                 1.3495,                0.97175,                0.33781,                0.59788,                0.41887,                0.32535,                0.33953,                0.60147,                0.42499,                0.24198,                0.88913,                 1.0978,                 1.4359,                0.97009,              0.0011304,              0.0011304,              0.0011304
                     31,                0.96816,                 1.1513,                 1.3065,                0.98234,                0.39622,                0.56145,                0.45527,                0.33838,                0.39865,                0.56505,                0.45777,                0.26825,                 0.9261,                 1.0347,                 1.3625,                0.97271,              0.0011263,              0.0011263,              0.0011263
                     32,                0.95601,                 1.1622,                 1.3368,                0.97443,                0.42534,                0.57018,                0.50513,                0.40416,                0.42728,                0.57377,                0.50742,                0.30971,                0.73294,                 0.9939,                 1.2683,                0.92369,              0.0011221,              0.0011221,              0.0011221
                     33,                0.93235,                 1.1455,                  1.301,                0.96517,                0.44046,                0.57477,                0.47898,                0.36036,                0.44253,                0.57836,                0.48128,                0.28987,                0.83593,                 1.0214,                 1.3485,                0.95305,               0.001118,               0.001118,               0.001118
                     34,                0.92217,                 1.1095,                 1.2991,                0.96775,                0.41069,                0.57933,                0.50329,                0.39294,                0.41088,                0.58202,                 0.5051,                0.30091,                0.85422,                 1.1021,                  1.252,                0.95469,              0.0011139,              0.0011139,              0.0011139
                     35,                0.81341,                0.90287,                 1.3212,                0.94067,                0.40893,                0.59158,                0.48702,                0.41569,                0.40747,                0.59428,                0.49152,                0.35738,                0.60273,                0.70973,                 1.2346,                0.89058,              0.0011098,              0.0011098,              0.0011098
                     36,                 0.7006,                0.80298,                 1.2101,                0.91084,                0.46135,                0.51397,                0.48482,                0.41008,                0.45685,                0.51747,                0.48925,                0.34705,                0.62977,                0.69799,                  1.283,                0.90486,              0.0011056,              0.0011056,              0.0011056
                     37,                0.71557,                0.76838,                 1.2278,                0.92348,                0.47617,                0.57453,                0.52042,                0.44978,                 0.4803,                0.57464,                0.52749,                0.38581,                0.58493,                0.63014,                 1.2138,                 0.8929,              0.0011015,              0.0011015,              0.0011015
                     38,                0.65041,                0.70796,                 1.2289,                0.91109,                0.37984,                0.59973,                0.44361,                0.38328,                0.38171,                0.60333,                0.44887,                 0.3381,                0.57153,                0.63224,                 1.3724,                0.88377,              0.0010974,              0.0010974,              0.0010974
                     39,                0.68222,                0.75587,                 1.2214,                0.91913,                0.47571,                0.53297,                0.49735,                0.36889,                0.47807,                  0.537,                0.49865,                 0.2348,                0.92323,                 1.8119,                 1.2345,                0.96348,              0.0010933,              0.0010933,              0.0010933
                     40,                0.65843,                0.70625,                 1.2094,                0.90968,                0.41289,                  0.579,                0.48221,                0.42253,                0.41368,                0.58218,                 0.4861,                0.37421,                0.54747,                0.59667,                 1.2825,                0.88516,              0.0010891,              0.0010891,              0.0010891
                     41,                0.64415,                0.71528,                  1.175,                0.89789,                0.42935,                0.53998,                0.47794,                0.41703,                0.43451,                0.54895,                0.48295,                 0.3558,                0.52677,                0.56416,                 1.2198,                0.86703,               0.001085,               0.001085,               0.001085
                     42,                 0.6394,                0.67986,                 1.2014,                0.89252,                0.42452,                 0.5568,                0.45668,                0.40066,                0.42627,                 0.5604,                 0.4607,                0.34464,                0.52248,                0.58012,                 1.3057,                0.86728,              0.0010809,              0.0010809,              0.0010809
                     43,                0.62499,                0.66478,                 1.1709,                0.89299,                0.42763,                0.57326,                0.51564,                0.45814,                0.42996,                0.57686,                0.52106,                0.39274,                 0.4926,                0.56767,                  1.169,                0.87231,              0.0010768,              0.0010768,              0.0010768
                     44,                0.62799,                0.68096,                 1.1625,                0.90355,                0.43994,                0.60258,                0.51153,                0.45398,                0.44178,                0.60577,                0.51479,                0.37901,                  0.499,                0.55978,                 1.1686,                0.86008,              0.0010726,              0.0010726,              0.0010726
                     45,                0.60286,                0.65864,                 1.1448,                  0.886,                0.43436,                0.61184,                0.50399,                0.45003,                0.43579,                0.61578,                0.50803,                0.38345,                0.50064,                 0.5784,                 1.2766,                0.86518,              0.0010685,              0.0010685,              0.0010685
                     46,                0.59923,                0.65379,                 1.1706,                0.89669,                0.44386,                0.60392,                0.50754,                 0.4514,                0.44633,                0.61048,                0.51139,                0.38421,                0.50092,                 0.5548,                 1.1759,                 0.8654,              0.0010644,              0.0010644,              0.0010644
                     47,                0.60264,                0.65989,                 1.1535,                0.88406,                0.43411,                0.49694,                0.44143,                0.39516,                0.43741,                0.50103,                0.44636,                0.34314,                 0.5014,                0.59887,                 1.4153,                0.86896,              0.0010603,              0.0010603,              0.0010603
