                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.45526,                0.54054,                0.88234,                 0.8496,                0.54272,                 0.6911,                0.63429,                0.58673,                0.54399,                0.69576,                0.63981,                0.47119,                0.39243,                0.51488,                0.94103,                0.84113,               0.000821,               0.000821,               0.000821
                    106,                0.45551,                0.54997,                0.86408,                0.85223,                0.57236,                0.69307,                0.65039,                0.60769,                0.59226,                0.65062,                0.65545,                0.49669,                 0.3634,                0.48201,                0.94884,                0.83621,             0.00081688,             0.00081688,             0.00081688
                    107,                0.44763,                0.52888,                0.87056,                0.84712,                 0.6044,                0.62838,                0.66441,                0.61508,                0.60932,                0.63171,                0.67095,                0.50566,                0.39773,                0.48318,                0.92353,                0.84448,             0.00081275,             0.00081275,             0.00081275
                    108,                0.44534,                0.55007,                0.84039,                0.84318,                0.52986,                0.68898,                0.63763,                0.59309,                0.52772,                0.69458,                0.64228,                0.48052,                0.37467,                0.48423,                0.95609,                0.83129,             0.00080863,             0.00080863,             0.00080863
                    109,                0.44873,                0.51523,                0.82467,                0.84476,                 0.6201,                0.64854,                0.66321,                0.61805,                0.62279,                0.65124,                0.66802,                0.50387,                0.37993,                0.49028,                0.90917,                0.84239,              0.0008045,              0.0008045,              0.0008045
                    110,                0.44826,                0.56486,                 0.8454,                 0.8434,                0.63327,                0.63866,                0.66351,                0.62226,                0.63751,                0.64316,                0.67052,                0.50384,                 0.3798,                0.49573,                 0.9173,                0.83485,             0.00080038,             0.00080038,             0.00080038
                    111,                0.44392,                0.54135,                0.83441,                0.84267,                0.60483,                0.67776,                0.66815,                0.62337,                0.59987,                0.68765,                0.67069,                0.50987,                0.38521,                0.49951,                 0.9264,                0.83525,             0.00079625,             0.00079625,             0.00079625
                    112,                 0.4271,                0.53613,                0.81643,                 0.8326,                0.54459,                0.69525,                0.62611,                0.58244,                0.54657,                0.69795,                0.63124,                0.47522,                0.39661,                0.52913,                0.99205,                0.84571,             0.00079213,             0.00079213,             0.00079213
                    113,                0.44599,                0.52167,                0.82974,                  0.837,                0.63209,                0.62351,                0.65545,                0.61602,                0.63355,                0.62555,                0.66008,                0.49617,                0.37295,                0.49158,                0.93344,                 0.8376,               0.000788,               0.000788,               0.000788
                    114,                0.42506,                0.53459,                0.78855,                0.83173,                0.56869,                0.63412,                0.63356,                0.59572,                0.52511,                0.72391,                0.63946,                0.48155,                0.36645,                0.49622,                0.97163,                0.83131,             0.00078387,             0.00078387,             0.00078387
                    115,                0.43194,                0.55227,                0.81082,                0.84253,                0.58531,                0.67594,                0.64133,                0.60217,                0.58771,                0.68437,                 0.6463,                0.48868,                 0.3747,                0.49966,                0.99343,                0.84097,             0.00077975,             0.00077975,             0.00077975
                    116,                0.43894,                0.52088,                 0.7857,                0.84822,                 0.5978,                 0.6627,                0.64531,                0.60197,                0.59923,                0.66488,                0.64925,                 0.4866,                0.37501,                0.48501,                0.95721,                0.83489,             0.00077563,             0.00077563,             0.00077563
                    117,                0.42893,                0.52527,                0.79824,                0.83816,                0.58689,                 0.6407,                0.64354,                0.60516,                0.59135,                0.64447,                0.64846,                0.49289,                0.37445,                0.48667,                0.92333,                0.83976,              0.0007715,              0.0007715,              0.0007715
                    118,                0.43264,                0.53103,                0.81425,                 0.8348,                0.57112,                0.64297,                0.62094,                0.58084,                0.57545,                0.64919,                0.62598,                0.47358,                0.36263,                0.49093,                0.96595,                0.83414,             0.00076738,             0.00076738,             0.00076738
                    119,                0.43894,                0.52894,                0.81348,                0.83675,                0.60354,                0.64354,                0.65356,                0.61585,                0.60513,                0.64757,                 0.6591,                0.49797,                0.37147,                0.51548,                 1.0001,                0.83732,             0.00076325,             0.00076325,             0.00076325
                    120,                0.42936,                0.52164,                0.81098,                0.83795,                0.59291,                0.68211,                0.64154,                0.59829,                0.59504,                0.68481,                0.64519,                0.48479,                0.37089,                0.47987,                0.92153,                0.83444,             0.00075912,             0.00075912,             0.00075912
                    121,                0.41709,                 0.5158,                0.78389,                0.82896,                0.61021,                0.61789,                0.66391,                0.62267,                0.61241,                0.62059,                0.66838,                0.50395,                0.35846,                0.50568,                 0.9418,                0.83813,               0.000755,               0.000755,               0.000755
                    122,                0.41964,                0.50705,                0.77124,                0.84273,                0.59719,                0.68034,                0.66866,                 0.6262,                0.59915,                0.68122,                 0.6739,                0.50619,                0.36341,                0.47722,                0.86503,                0.83501,             0.00075088,             0.00075088,             0.00075088
                    123,                0.42526,                0.53357,                0.76566,                0.83671,                0.60334,                0.68507,                0.66023,                0.61959,                0.60581,                0.68776,                 0.6644,                0.50125,                0.36016,                0.47641,                0.93131,                0.83756,             0.00074675,             0.00074675,             0.00074675
                    124,                0.40178,                0.50887,                0.77828,                0.82837,                0.61173,                0.68649,                0.67124,                0.63101,                0.61589,                 0.6907,                0.67656,                0.50608,                0.36683,                0.48996,                 0.8887,                0.83779,             0.00074263,             0.00074263,             0.00074263
                    125,                0.42434,                0.54684,                0.76296,                0.84001,                0.60454,                0.68905,                0.67084,                0.62887,                0.60461,                0.69197,                0.67456,                 0.5041,                0.36859,                0.50432,                0.90588,                0.84057,              0.0007385,              0.0007385,              0.0007385
                    126,                0.42518,                0.51692,                0.78363,                0.83603,                0.62848,                0.67779,                0.66933,                 0.6254,                0.62994,                0.67959,                0.67353,                0.50067,                0.37876,                0.49728,                0.90231,                0.84051,             0.00073437,             0.00073437,             0.00073437
                    127,                 0.4232,                0.51917,                0.76247,                0.83541,                0.59811,                0.68546,                0.66926,                0.62736,                0.59843,                0.70161,                0.67349,                 0.5028,                0.36354,                 0.4793,                0.92294,                0.83446,             0.00073025,             0.00073025,             0.00073025
                    128,                0.42535,                0.52985,                0.75349,                0.84416,                0.59873,                0.69326,                0.65903,                0.61588,                0.60083,                0.69673,                0.66258,                0.49437,                0.37496,                0.48995,                0.93297,                0.84011,             0.00072612,             0.00072612,             0.00072612
                    129,                0.43234,                0.52659,                0.74269,                0.83296,                0.64059,                0.64152,                 0.6766,                0.63585,                0.64323,                0.64422,                0.68143,                0.51668,                0.36231,                0.48193,                 0.9091,                 0.8392,               0.000722,               0.000722,               0.000722
                    130,                0.41858,                0.51944,                 0.7515,                0.83494,                0.54724,                0.67193,                0.63139,                0.58787,                0.55058,                0.67553,                0.63713,                0.48306,                0.40697,                0.53709,                 1.0165,                0.85076,             0.00071788,             0.00071788,             0.00071788
                    131,                0.41802,                0.51071,                0.74953,                0.83725,                 0.6371,                0.64847,                0.67812,                 0.6374,                0.63939,                0.65117,                0.68207,                0.50965,                0.36987,                0.48827,                0.86206,                0.83887,             0.00071375,             0.00071375,             0.00071375
                    132,                0.41553,                0.51869,                 0.7673,                0.83882,                0.62998,                 0.6675,                 0.6863,                0.64681,                0.63229,                 0.6702,                0.69214,                0.52001,                0.36083,                 0.4857,                0.91484,                0.83981,             0.00070962,             0.00070962,             0.00070962
                    133,                0.41595,                0.52359,                0.71776,                0.83778,                0.55279,                0.72117,                0.64247,                0.60343,                0.55414,                0.72297,                0.64576,                0.48873,                0.35569,                0.49479,                0.98562,                0.83313,              0.0007055,              0.0007055,              0.0007055
                    134,                 0.4161,                0.50878,                0.73059,                0.82979,                0.62658,                0.68951,                0.67545,                0.63664,                0.62744,                0.69041,                  0.678,                0.51653,                0.36236,                 0.4855,                0.91581,                0.84095,             0.00070137,             0.00070137,             0.00070137
                    135,                  0.412,                0.52215,                 0.7214,                0.82769,                 0.6652,                0.61231,                0.67335,                0.62863,                0.66726,                0.61411,                0.67835,                0.50658,                0.37602,                0.50149,                 0.9083,                0.83793,             0.00069725,             0.00069725,             0.00069725
                    136,                0.41545,                0.50986,                0.72804,                0.83022,                0.59331,                0.71891,                0.68339,                0.64149,                0.59484,                 0.7207,                 0.6872,                0.51805,                0.36032,                 0.4949,                0.91826,                 0.8367,             0.00069313,             0.00069313,             0.00069313
                    137,                0.39438,                0.50321,                 0.7149,                0.82445,                0.57981,                0.69452,                0.67548,                0.63784,                0.58184,                0.69681,                0.67926,                0.51329,                0.34727,                 0.4879,                0.90343,                0.83123,               0.000689,               0.000689,               0.000689
                    138,                0.40361,                0.49427,                0.73297,                0.82843,                0.67194,                 0.6509,                0.68754,                 0.6468,                0.67467,                 0.6536,                0.69294,                0.52253,                0.35715,                0.47759,                0.89626,                0.83704,             0.00068488,             0.00068488,             0.00068488
                    139,                0.41443,                0.51727,                0.70749,                0.83951,                 0.6153,                0.70852,                 0.6869,                0.64583,                0.61839,                0.71212,                0.69167,                0.52232,                0.36116,                0.47922,                0.86026,                0.84315,             0.00068075,             0.00068075,             0.00068075
                    140,                 0.4139,                0.50278,                0.70369,                0.84127,                 0.6192,                0.72235,                 0.7099,                0.67156,                0.62221,                0.72595,                0.71517,                0.53899,                0.34914,                0.48871,                0.85458,                0.83892,             0.00067663,             0.00067663,             0.00067663
                    141,                0.39018,                0.49451,                0.67279,                0.83215,                0.66427,                0.65682,                0.68657,                0.64736,                0.66672,                0.65952,                0.69189,                0.52508,                0.35568,                0.48818,                0.89741,                 0.8444,              0.0006725,              0.0006725,              0.0006725
                    142,                0.40309,                0.50584,                0.68833,                 0.8386,                0.64305,                 0.7148,                0.69715,                0.66056,                0.64553,                0.71749,                0.70161,                0.53438,                0.35627,                0.48593,                 0.8758,                0.84075,             0.00066838,             0.00066838,             0.00066838
                    143,                0.39715,                0.50976,                0.70293,                0.82356,                0.59896,                0.70607,                0.67062,                0.63471,                0.65674,                0.64324,                0.67606,                0.50838,                0.35776,                0.49431,                0.94738,                0.84256,             0.00066425,             0.00066425,             0.00066425
                    144,                0.39886,                0.50214,                0.67375,                0.82914,                0.60525,                0.71403,                0.69314,                0.65147,                0.60798,                0.71784,                0.69834,                0.53661,                0.36596,                 0.4916,                0.94321,                0.84749,             0.00066013,             0.00066013,             0.00066013
                    145,                0.40592,                 0.5077,                0.67425,                0.83218,                0.63175,                0.69352,                0.70263,                0.66259,                0.63413,                0.69621,                0.70771,                0.53125,                0.35815,                0.48785,                0.88122,                 0.8441,               0.000656,               0.000656,               0.000656
                    146,                0.39464,                0.51315,                0.66741,                0.82922,                0.65823,                0.64388,                0.68195,                0.64292,                0.66195,                 0.6474,                0.68745,                0.52495,                0.34844,                0.46873,                0.89372,                0.83241,             0.00065188,             0.00065188,             0.00065188
                    147,                0.40308,                0.49644,                 0.6853,                0.83031,                0.64955,                0.68958,                0.69038,                0.65128,                0.65118,                0.69138,                 0.6938,                0.52981,                0.34996,                0.47952,                 0.8953,                0.83578,             0.00064775,             0.00064775,             0.00064775
                    148,                0.40192,                0.51164,                0.66539,                0.83545,                0.63354,                0.65581,                0.65965,                0.62098,                 0.6359,                0.65786,                0.66369,                0.49589,                0.35528,                0.48233,                0.93747,                 0.8333,             0.00064362,             0.00064362,             0.00064362
                    149,                0.39418,                0.50911,                 0.6714,                0.83305,                0.65427,                0.68469,                0.69109,                0.65498,                0.65697,                0.68739,                0.69575,                0.53181,                0.34999,                0.46938,                0.89572,                0.84135,              0.0006395,              0.0006395,              0.0006395
                    150,                0.41515,                0.51375,                0.68304,                0.83085,                0.60169,                0.71869,                0.69061,                0.65375,                0.60471,                0.72138,                 0.6965,                0.52927,                0.34422,                0.47126,                0.93126,                0.83713,             0.00063538,             0.00063538,             0.00063538
                    151,                0.38728,                0.50325,                0.65494,                0.82363,                 0.6227,                0.71455,                0.69551,                0.65936,                0.62523,                0.71725,                0.69993,                0.53061,                0.34617,                0.47882,                0.89294,                0.83713,             0.00063125,             0.00063125,             0.00063125
                    152,                0.39203,                0.50443,                0.67882,                0.82716,                0.68666,                0.66951,                0.70183,                0.66325,                0.68996,                 0.6727,                0.70756,                0.53021,                0.35262,                0.48507,                0.85199,                 0.8373,             0.00062713,             0.00062713,             0.00062713
                    153,                0.38547,                0.48557,                0.65311,                0.82815,                0.61225,                0.74474,                0.70212,                0.66063,                0.61571,                0.74883,                0.70763,                0.53149,                0.35665,                0.47409,                0.89287,                0.83684,               0.000623,               0.000623,               0.000623
                    154,                0.40352,                0.49679,                0.66172,                0.82865,                0.60681,                0.71077,                0.69329,                0.65846,                0.61004,                0.71565,                 0.7011,                0.52703,                 0.3409,                0.46964,                 0.8756,                0.83486,             0.00061887,             0.00061887,             0.00061887
                    155,                0.39117,                0.50538,                 0.6249,                0.83202,                 0.6568,                0.67927,                0.70127,                0.66208,                 0.6585,                0.68107,                0.70444,                 0.5283,                0.34829,                0.47522,                0.87312,                0.82994,             0.00061475,             0.00061475,             0.00061475
                    156,                0.38803,                0.47939,                0.62188,                0.82729,                0.64151,                0.70853,                0.70154,                0.66638,                0.64422,                0.71239,                0.70649,                0.53783,                0.33743,                0.46972,                0.87761,                0.82883,             0.00061062,             0.00061062,             0.00061062
                    157,                0.39239,                 0.4899,                0.63471,                0.82904,                0.61629,                0.71682,                0.69461,                0.66026,                0.61794,                0.71862,                0.69722,                0.53334,                0.33219,                0.46221,                0.87489,                0.83294,              0.0006065,              0.0006065,              0.0006065
                    158,                0.39129,                0.48904,                0.62063,                0.82594,                0.62819,                0.71654,                 0.6958,                0.65563,                0.63177,                0.72013,                0.70083,                0.53316,                0.35463,                0.46698,                0.90308,                0.84563,             0.00060238,             0.00060238,             0.00060238
                    159,                0.39226,                0.48111,                0.63103,                 0.8302,                0.60932,                0.75138,                0.69619,                0.65445,                0.61332,                0.75556,                0.70219,                0.53266,                 0.3511,                0.46473,                0.86585,                 0.8433,             0.00059825,             0.00059825,             0.00059825
                    160,                0.38699,                0.49229,                0.61808,                0.82439,                0.62872,                0.69669,                0.69647,                 0.6576,                0.62119,                0.70136,                0.70036,                0.52661,                0.34237,                0.46926,                0.92066,                0.83261,             0.00059413,             0.00059413,             0.00059413
                    161,                0.37982,                0.49308,                0.64029,                0.82247,                0.62467,                0.71657,                 0.6978,                0.65958,                 0.6267,                0.71886,                0.70048,                0.53309,                0.32819,                 0.4678,                0.87922,                0.82303,                0.00059,                0.00059,                0.00059
                    162,                0.38539,                0.48913,                0.61705,                0.82623,                0.65262,                0.67705,                0.70325,                0.66373,                0.65436,                0.67885,                  0.707,                0.54089,                0.34334,                0.47243,                0.90861,                0.83001,             0.00058588,             0.00058588,             0.00058588
                    163,                0.38378,                 0.4804,                0.59138,                0.82257,                0.66004,                0.67973,                0.70587,                0.67157,                0.66085,                0.68063,                0.70869,                0.53301,                0.33392,                0.47038,                0.88634,                0.83395,             0.00058175,             0.00058175,             0.00058175
                    164,                0.38287,                0.50667,                0.60344,                0.82319,                0.65291,                0.66247,                0.69726,                0.66111,                0.65746,                0.66655,                0.70165,                0.52415,                  0.337,                0.47837,                0.88095,                0.83582,             0.00057763,             0.00057763,             0.00057763
                    165,                0.37552,                0.48489,                0.58732,                0.81647,                0.66389,                0.68596,                0.70005,                0.66239,                0.67327,                0.68786,                0.70548,                0.53773,                 0.3425,                0.46619,                0.87467,                0.83598,              0.0005735,              0.0005735,              0.0005735
                    166,                0.37398,                0.47989,                0.57471,                0.82369,                0.67986,                0.69433,                0.70638,                0.66999,                0.68256,                0.69703,                0.71101,                0.53764,                0.33324,                0.46697,                0.91177,                0.83051,             0.00056938,             0.00056938,             0.00056938
                    167,                0.37921,                0.49472,                0.61318,                 0.8284,                0.66036,                0.73757,                0.72123,                 0.6811,                0.66332,                0.74076,                0.72603,                0.54437,                0.33559,                0.46313,                0.85129,                0.82995,             0.00056525,             0.00056525,             0.00056525
                    168,                0.38724,                0.50294,                0.58198,                0.83321,                0.66842,                0.67735,                0.70052,                0.66414,                0.67055,                0.67964,                0.70441,                0.52809,                0.33438,                0.47735,                0.89634,                0.83483,             0.00056112,             0.00056112,             0.00056112
                    169,                0.37348,                 0.4869,                0.57335,                0.82445,                0.70955,                0.70449,                0.72211,                0.68007,                0.71185,                0.70724,                0.72943,                 0.5537,                0.34439,                0.47267,                0.85281,                0.82918,               0.000557,               0.000557,               0.000557
                    170,                0.38229,                0.49161,                 0.5907,                 0.8292,                0.69518,                0.68758,                0.72304,                0.68472,                0.69526,                0.69009,                0.72871,                0.54825,                0.34367,                0.46019,                0.86324,                0.83577,             0.00055287,             0.00055287,             0.00055287
                    171,                0.38739,                0.50708,                0.58288,                0.82114,                0.71314,                0.66228,                0.71086,                0.67484,                 0.7159,                0.66498,                0.71769,                0.54191,                0.34138,                0.46219,                0.86369,                0.83964,             0.00054875,             0.00054875,             0.00054875
                    172,                0.37986,                0.48536,                0.57296,                0.82738,                0.66502,                0.75468,                0.74113,                 0.7055,                0.66662,                0.75647,                0.74545,                0.56325,                0.32747,                0.46414,                0.83235,                0.82819,             0.00054463,             0.00054463,             0.00054463
                    173,                0.37699,                0.50601,                0.56795,                0.82104,                0.68008,                 0.6738,                0.71921,                0.68425,                 0.6832,                0.67699,                0.72401,                0.55189,                0.32468,                0.46287,                0.86441,                0.82641,              0.0005405,              0.0005405,              0.0005405
                    174,                0.39098,                0.50459,                 0.5914,                0.82717,                0.68499,                0.67841,                0.71674,                0.68286,                0.68584,                0.68111,                0.72167,                0.54401,                0.32523,                0.45793,                0.87591,                  0.831,             0.00053638,             0.00053638,             0.00053638
                    175,                0.38145,                0.48438,                 0.5493,                0.82084,                0.66358,                0.72334,                0.72294,                0.68639,                0.66493,                0.72659,                  0.727,                0.55397,                0.33213,                0.45804,                0.86254,                0.82974,             0.00053225,             0.00053225,             0.00053225
                    176,                 0.3769,                0.48604,                0.56314,                0.82365,                0.73442,                0.66138,                 0.7273,                0.69322,                0.73717,                0.66407,                0.73141,                0.55013,                 0.3316,                0.46958,                0.86029,                0.82988,             0.00052812,             0.00052812,             0.00052812
                    177,                0.36917,                0.47332,                0.55929,                0.81718,                0.67258,                0.72462,                0.72733,                0.69192,                0.67496,                0.72888,                0.73116,                0.55361,                 0.3285,                0.46105,                0.84964,                0.82694,               0.000524,               0.000524,               0.000524
                    178,                0.36575,                0.46565,                0.53251,                0.82284,                0.66854,                0.74689,                0.72355,                0.68929,                0.67018,                0.74869,                0.72642,                0.54906,                0.32719,                0.45981,                0.85397,                0.82593,             0.00051988,             0.00051988,             0.00051988
                    179,                0.37295,                0.48083,                0.56979,                 0.8256,                0.66949,                0.73749,                0.72482,                0.68942,                0.67036,                0.73839,                0.72852,                0.55289,                0.32506,                0.45747,                0.82136,                0.82655,             0.00051575,             0.00051575,             0.00051575
                    180,                0.36694,                0.48164,                 0.5482,                0.82144,                0.65341,                0.75269,                 0.7339,                0.70026,                0.65589,                0.75596,                0.73732,                 0.5577,                0.32395,                0.46765,                0.85549,                0.82748,             0.00051163,             0.00051163,             0.00051163
                    181,                0.36526,                0.48561,                0.54539,                0.82203,                0.65277,                0.72038,                0.71942,                0.68827,                 0.6529,                0.72369,                0.72319,                0.54551,                0.32253,                0.46889,                0.86785,                0.82683,              0.0005075,              0.0005075,              0.0005075
                    182,                0.36726,                0.49049,                0.55417,                0.82341,                0.64079,                0.75212,                 0.7214,                0.68478,                0.64228,                0.75433,                 0.7259,                 0.5535,                0.33114,                0.46567,                0.86884,                0.83207,             0.00050337,             0.00050337,             0.00050337
                    183,                0.37045,                0.48072,                0.52662,                0.82381,                 0.6887,                0.70129,                0.72299,                 0.6892,                   0.69,                0.70193,                0.72718,                0.55079,                0.32514,                0.46425,                0.84338,                0.82716,             0.00049925,             0.00049925,             0.00049925
                    184,                0.37111,                0.48423,                0.52844,                0.81863,                 0.6959,                0.70961,                0.72055,                 0.6854,                0.69755,                0.71141,                0.72432,                0.54629,                0.33157,                0.47055,                0.86682,                0.83001,             0.00049513,             0.00049513,             0.00049513
                    185,                0.36084,                0.48913,                 0.5192,                0.81887,                0.66423,                0.72779,                0.71495,                0.67986,                0.66635,                0.72942,                0.71988,                0.54396,                0.33447,                0.48279,                0.87556,                0.83282,               0.000491,               0.000491,               0.000491
                    186,                0.37467,                0.49648,                0.51378,                0.82172,                0.68021,                0.72767,                0.73642,                0.70289,                0.68185,                0.72947,                0.73953,                0.56302,                0.33208,                0.51789,                0.85474,                0.83546,             0.00048687,             0.00048687,             0.00048687
                    187,                0.35494,                0.46488,                0.50651,                0.81634,                0.65469,                0.73579,                0.72605,                0.69458,                0.65727,                0.73849,                0.73156,                0.55162,                0.33821,                0.53039,                0.86712,                0.83535,             0.00048275,             0.00048275,             0.00048275
                    188,                0.35279,                 0.4667,                0.50175,                0.81539,                0.66859,                 0.7223,                0.72229,                0.68918,                0.67105,                  0.725,                0.72765,                0.55475,                0.33369,                0.53315,                0.87583,                0.83861,             0.00047863,             0.00047863,             0.00047863
                    189,                0.36262,                0.49148,                0.49717,                0.81813,                0.65351,                0.74279,                0.71998,                0.68496,                 0.6567,                0.74639,                 0.7258,                0.54886,                0.32605,                0.46039,                0.87839,                0.83287,              0.0004745,              0.0004745,              0.0004745
                    190,                0.36256,                0.47807,                 0.4963,                0.82127,                0.69923,                0.67032,                0.72017,                0.68452,                0.70094,                0.67212,                0.72423,                0.54849,                0.32975,                 0.4653,                0.88942,                0.82848,             0.00047038,             0.00047038,             0.00047038
                    191,                0.36733,                0.46704,                0.51533,                0.82437,                0.67639,                0.69746,                0.72666,                0.69229,                0.67837,                0.70129,                0.73271,                0.55067,                0.32512,                0.46874,                0.87829,                0.83126,             0.00046625,             0.00046625,             0.00046625
                    192,                0.36357,                0.48463,                0.52596,                0.82161,                0.64214,                0.74139,                0.72771,                0.69463,                0.64384,                0.74387,                0.73234,                0.55603,                0.32323,                0.47265,                0.87706,                0.82949,             0.00046212,             0.00046212,             0.00046212
                    193,                0.35137,                  0.466,                0.50668,                0.81746,                0.70735,                0.67062,                0.72078,                0.68889,                0.70919,                0.67242,                0.72579,                0.55234,                0.33088,                0.47912,                0.87395,                0.83938,               0.000458,               0.000458,               0.000458
                    194,                0.36484,                0.48776,                0.50893,                0.81973,                0.69265,                0.68456,                 0.7127,                0.67948,                0.69448,                0.68636,                0.71654,                   0.54,                0.33134,                0.46928,                0.88764,                0.82909,             0.00045388,             0.00045388,             0.00045388
                    195,                0.36058,                 0.4848,                0.50677,                0.82307,                 0.6704,                0.69643,                0.71426,                0.68014,                 0.6704,                0.69643,                 0.7164,                0.54404,                0.32449,                0.46269,                0.88373,                0.82587,             0.00044975,             0.00044975,             0.00044975
                    196,                0.35345,                0.45886,                0.48748,                0.81952,                0.66757,                0.72381,                0.71716,                0.68605,                 0.6692,                0.72561,                0.72064,                0.54775,                0.32207,                0.45974,                0.88818,                0.82728,             0.00044563,             0.00044563,             0.00044563
                    197,                0.35102,                0.48951,                 0.4878,                0.82153,                0.68463,                0.72006,                0.73126,                0.69877,                0.68547,                0.72096,                0.73471,                0.55621,                0.32345,                0.46494,                0.86457,                0.82653,              0.0004415,              0.0004415,              0.0004415
                    198,                0.35173,                0.47296,                0.51006,                 0.8176,                0.66878,                0.72796,                0.72141,                0.68855,                0.66878,                0.72796,                0.72296,                0.54874,                0.31207,                0.46129,                0.86601,                0.82402,             0.00043738,             0.00043738,             0.00043738
                    199,                0.36501,                0.47191,                0.50781,                0.81398,                 0.6941,                0.69489,                0.72495,                0.69367,                0.69676,                0.69759,                 0.7288,                0.55198,                0.31419,                0.46204,                 0.8385,                0.82685,             0.00043325,             0.00043325,             0.00043325
                    200,                0.34385,                0.46601,                0.45924,                0.81559,                0.69982,                0.68413,                0.72048,                0.68856,                0.69953,                0.68413,                0.72278,                0.54687,                0.31485,                0.47109,                0.87117,                0.82297,             0.00042912,             0.00042912,             0.00042912
                    201,                0.34742,                0.47164,                0.48725,                0.81529,                0.64647,                 0.7234,                0.71416,                0.68472,                 0.6481,                 0.7252,                0.71848,                0.54359,                0.31794,                0.46614,                0.88016,                0.82942,               0.000425,               0.000425,               0.000425
                    202,                0.34294,                0.46732,                0.47604,                0.81094,                0.67965,                 0.7215,                0.72527,                0.69416,                0.68137,                 0.7233,                 0.7292,                0.54921,                0.31991,                0.47428,                0.85934,                0.82907,             0.00042087,             0.00042087,             0.00042087
                    203,                0.34816,                0.46653,                0.47153,                0.81685,                0.68426,                0.73227,                 0.7366,                0.70603,                0.68587,                0.73407,                0.74105,                0.56242,                0.31361,                0.45966,                0.87009,                0.83368,             0.00041675,             0.00041675,             0.00041675
                    204,                0.35198,                0.46597,                  0.481,                0.81794,                0.68673,                0.70745,                0.73735,                0.70632,                0.68759,                0.70835,                0.74121,                0.56339,                0.31988,                0.45749,                0.85152,                0.83422,             0.00041263,             0.00041263,             0.00041263
                    205,                0.34557,                0.46992,                0.46774,                0.81334,                0.65795,                0.74577,                0.73523,                0.70275,                0.65962,                0.74757,                0.74161,                0.55818,                0.32124,                0.45937,                0.84361,                0.83929,              0.0004085,              0.0004085,              0.0004085
                    206,                0.35529,                0.46505,                0.47414,                0.81906,                0.68157,                0.71383,                0.74059,                0.70705,                0.68328,                0.71563,                0.74638,                0.56125,                0.32799,                0.46339,                0.83331,                0.83821,             0.00040438,             0.00040438,             0.00040438
                    207,                0.35564,                 0.4675,                0.47436,                0.81934,                0.65928,                0.74572,                0.74589,                0.71091,                0.66012,                0.74662,                0.74956,                0.56932,                0.31981,                0.45605,                0.83609,                0.83524,             0.00040025,             0.00040025,             0.00040025
                    208,                0.34499,                0.46389,                 0.4629,                0.82002,                0.71334,                0.68093,                0.73968,                0.70483,                0.71514,                0.68273,                0.74334,                0.56098,                0.32153,                0.45992,                0.86739,                0.83348,             0.00039613,             0.00039613,             0.00039613
                    209,                0.34448,                0.46223,                0.47227,                 0.8179,                0.69996,                0.70723,                 0.7355,                 0.7041,                0.70174,                0.70903,                0.73876,                 0.5585,                0.31917,                0.45952,                0.85641,                0.83057,               0.000392,               0.000392,               0.000392
                    210,                0.34616,                0.45223,                0.45715,                0.81841,                0.74379,                0.66261,                0.73563,                0.70356,                 0.7447,                0.66351,                0.73814,                0.56066,                0.30951,                0.45797,                0.86929,                0.82622,             0.00038788,             0.00038788,             0.00038788
                    211,                 0.3476,                0.46017,                0.47785,                0.82248,                0.73011,                0.66831,                0.73819,                0.70599,                0.73101,                 0.6692,                0.74068,                0.55869,                0.31209,                0.46868,                0.85819,                0.82562,             0.00038375,             0.00038375,             0.00038375
                    212,                0.34909,                0.45744,                0.47171,                0.82278,                0.76133,                0.64286,                0.74242,                0.71192,                0.76356,                0.64328,                0.74503,                  0.566,                0.31198,                0.46024,                0.83225,                0.82807,             0.00037962,             0.00037962,             0.00037962
                    213,                0.34735,                0.46796,                0.44563,                0.81863,                0.70597,                 0.6623,                0.72847,                0.69923,                0.70684,                 0.6632,                0.73065,                0.55853,                0.31297,                0.45859,                0.85007,                 0.8293,              0.0003755,              0.0003755,              0.0003755
                    214,                0.33665,                0.45948,                0.45312,                0.81498,                0.70487,                0.65716,                0.72627,                0.69565,                 0.7066,                0.65896,                0.72978,                0.55599,                0.31715,                0.45683,                0.85935,                0.82806,             0.00037138,             0.00037138,             0.00037138
                    215,                0.34538,                0.45527,                0.45629,                0.81612,                0.66338,                0.70132,                0.72468,                0.69438,                0.66504,                0.70312,                 0.7278,                0.55158,                0.31561,                0.45756,                0.88333,                0.82623,             0.00036725,             0.00036725,             0.00036725
                    216,                0.34086,                 0.4678,                 0.4449,                0.81059,                0.65813,                0.72751,                0.72939,                0.69742,                0.65864,                0.72724,                0.73252,                 0.5565,                0.30929,                0.45985,                0.83833,                0.82354,             0.00036313,             0.00036313,             0.00036313
                    217,                0.33874,                0.46151,                0.45138,                0.81473,                0.66963,                0.72377,                 0.7386,                0.70677,                0.67126,                0.72557,                0.74233,                0.56338,                0.30957,                0.45969,                0.83753,                0.82262,               0.000359,               0.000359,               0.000359
