                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0583,                 3.0349,                  1.195,                 0.3193,                0.41146,                0.24677,                0.18289,                0.83726,                 1.8525,                 1.0937,               0.074742,              0.0021576,              0.0021576
                      2,                0.82387,                 1.7975,                 1.0687,                0.32966,                0.50194,                0.32631,                0.25695,                0.67891,                 1.5791,                 1.0095,               0.049134,              0.0041899,              0.0041899
                      3,                0.76572,                  1.642,                 1.0345,                0.26496,                0.55187,                0.30834,                0.25728,                0.53128,                 1.5329,                0.94533,               0.023382,              0.0060786,              0.0060786
                      4,                 0.6767,                  1.517,                 1.0005,                0.30103,                0.56844,                0.37065,                0.29941,                0.60475,                 1.8108,                 1.0203,              0.0070908,              0.0070908,              0.0070908
                      5,                0.65996,                 1.4095,                0.99228,                0.30936,                0.51142,                0.35895,                0.30958,                0.47224,                 1.4083,                0.93327,               0.006831,               0.006831,               0.006831
                      6,                0.60805,                 1.3233,                0.97982,                0.32662,                0.55511,                0.40617,                0.34763,                0.49647,                 1.3782,                0.95478,              0.0065713,              0.0065713,              0.0065713
                      7,                0.58102,                 1.2588,                0.97169,                0.45421,                0.54559,                 0.4912,                0.33736,                0.91306,                 1.2669,                 1.2187,              0.0063115,              0.0063115,              0.0063115
                      8,                0.56793,                 1.2227,                0.96826,                0.46049,                 0.5252,                0.48909,                0.42825,                0.43414,                 1.1676,                0.92681,              0.0060518,              0.0060518,              0.0060518
                      9,                0.53434,                 1.1818,                  0.959,                 0.4587,                0.51809,                  0.473,                0.42086,                0.38551,                  1.128,                0.91347,               0.005792,               0.005792,               0.005792
                     10,                0.50882,                 1.1379,                0.95517,                0.42053,                0.54725,                0.48162,                0.43172,                 0.3871,                  1.182,                0.91647,              0.0055323,              0.0055323,              0.0055323
                     11,                0.49183,                 1.0987,                0.95399,                0.39842,                0.59121,                0.47325,                0.42576,                0.35828,                 1.2173,                0.90371,              0.0052725,              0.0052725,              0.0052725
                     12,                0.48729,                 1.0932,                0.94902,                0.44908,                0.60074,                0.52776,                0.47919,                0.35263,                 1.0759,                0.89923,              0.0050128,              0.0050128,              0.0050128
                     13,                0.45552,                 1.0555,                0.93302,                0.52253,                0.53504,                0.53132,                0.48748,                0.33208,                 1.1025,                0.89607,               0.004753,               0.004753,               0.004753
                     14,                0.46234,                 1.0635,                0.94342,                0.49485,                0.59098,                0.55939,                0.51075,                0.35118,                 1.0455,                0.91284,              0.0044933,              0.0044933,              0.0044933
                     15,                0.44969,                 1.0238,                0.93198,                0.58257,                0.58563,                0.60251,                0.55863,                0.30948,                 1.0042,                0.89177,              0.0042335,              0.0042335,              0.0042335
                     16,                0.42286,                 1.0025,                0.91656,                0.49841,                 0.6252,                0.57564,                 0.5344,                0.31164,                 1.0868,                0.89216,              0.0039738,              0.0039738,              0.0039738
                     17,                0.41868,                0.97906,                0.92865,                0.54822,                0.59361,                0.59204,                0.55028,                0.32094,                0.98484,                0.90149,               0.003714,               0.003714,               0.003714
                     18,                 0.3986,                0.94882,                0.91234,                0.59082,                0.57535,                 0.6039,                0.56482,                0.28297,                0.95473,                0.88429,              0.0034543,              0.0034543,              0.0034543
                     19,                 0.3936,                0.92314,                0.91563,                0.54971,                0.59713,                0.60358,                0.55875,                0.30995,                0.97157,                0.88327,              0.0031945,              0.0031945,              0.0031945
                     20,                0.37822,                0.88798,                0.91406,                0.54576,                0.61397,                0.61619,                0.57919,                0.27496,                0.94356,                0.87955,              0.0029348,              0.0029348,              0.0029348
                     21,                0.29956,                0.81471,                0.88347,                0.59852,                0.58879,                 0.6281,                0.59097,                 0.2709,                0.93852,                0.87868,               0.002675,               0.002675,               0.002675
                     22,                0.29802,                0.80459,                0.88895,                0.63067,                0.59624,                0.63983,                0.57986,                0.34213,                0.95997,                0.90922,              0.0024153,              0.0024153,              0.0024153
                     23,                0.28773,                0.76542,                0.88156,                0.60554,                0.62677,                0.64878,                 0.6125,                0.26426,                0.90777,                 0.8753,              0.0021555,              0.0021555,              0.0021555
                     24,                0.28019,                0.73821,                0.87205,                0.60694,                 0.6361,                0.66491,                0.63426,                0.24984,                0.89835,                0.87038,              0.0018958,              0.0018958,              0.0018958
                     25,                0.26886,                0.70377,                  0.874,                0.56232,                0.68138,                0.66843,                0.63397,                0.25884,                 0.9123,                0.87425,               0.001636,               0.001636,               0.001636
                     26,                0.26306,                0.66936,                0.86806,                0.55889,                 0.7192,                0.66102,                0.62866,                0.24947,                0.86539,                0.87255,              0.0013763,              0.0013763,              0.0013763
                     27,                0.25653,                 0.6411,                 0.8663,                0.61166,                0.64691,                0.66276,                0.63609,                0.23752,                0.89142,                0.86879,              0.0011165,              0.0011165,              0.0011165
                     28,                0.24879,                0.61936,                 0.8688,                0.67711,                0.61253,                0.67713,                0.64659,                0.23956,                0.86501,                0.87354,             0.00085677,             0.00085677,             0.00085677
                     29,                0.23899,                0.57887,                0.86528,                0.62289,                0.64621,                0.67278,                0.64661,                0.23019,                0.87844,                0.86951,             0.00059702,             0.00059702,             0.00059702
                     30,                 0.2334,                0.53747,                0.85583,                0.65573,                0.66605,                0.68138,                0.65698,                0.22801,                0.85039,                 0.8714,             0.00033727,             0.00033727,             0.00033727
