               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.3723,              1.8497,              1.2429,             0.41631,             0.54616,             0.46256,             0.37685,                   0,                   0,                   0,           0.0009699,           0.0009699,           0.0009699
                  40,              1.3626,              1.8131,              1.2542,               0.388,             0.54758,             0.46122,             0.35907,                   0,                   0,                   0,          0.00096911,          0.00096911,          0.00096911
                  41,              1.3884,              1.8083,              1.2583,             0.45382,             0.55754,             0.50241,             0.37517,                   0,                   0,                   0,          0.00096832,          0.00096832,          0.00096832
                  42,              1.3535,              1.7955,              1.2493,             0.42858,             0.56508,             0.46497,             0.36564,                   0,                   0,                   0,          0.00096753,          0.00096753,          0.00096753
                  43,              1.3918,              1.8129,              1.2583,             0.43742,             0.57367,             0.46349,             0.37554,                   0,                   0,                   0,          0.00096674,          0.00096674,          0.00096674
                  44,              1.3595,              1.7799,              1.2403,             0.41509,             0.58527,             0.47385,             0.37609,                   0,                   0,                   0,          0.00096594,          0.00096594,          0.00096594
                  45,              1.3161,              1.8067,              1.2441,             0.41602,             0.59372,             0.48914,             0.40023,                   0,                   0,                   0,          0.00096515,          0.00096515,          0.00096515
                  46,              1.3464,               1.764,              1.2361,             0.46448,             0.56689,              0.4937,               0.401,                   0,                   0,                   0,          0.00096436,          0.00096436,          0.00096436
                  47,              1.3263,              1.7686,               1.238,             0.48354,             0.48234,             0.49203,             0.38038,                   0,                   0,                   0,          0.00096357,          0.00096357,          0.00096357
                  48,              1.3567,              1.7521,              1.2423,             0.47142,             0.53164,             0.49741,             0.39661,                   0,                   0,                   0,          0.00096278,          0.00096278,          0.00096278
                  49,              1.3327,              1.7448,              1.2279,             0.40146,             0.59783,              0.4847,             0.39813,                   0,                   0,                   0,          0.00096198,          0.00096198,          0.00096198
                  50,              1.3379,              1.7679,              1.2324,             0.32732,             0.58954,             0.34371,             0.25018,                   0,                   0,                   0,          0.00096119,          0.00096119,          0.00096119
                  51,              1.2954,              1.7097,              1.2451,             0.44349,             0.59831,              0.5125,             0.38633,                   0,                   0,                   0,           0.0009604,           0.0009604,           0.0009604
                  52,              1.3543,              1.7316,              1.2673,             0.41553,             0.56901,             0.48731,             0.38749,                   0,                   0,                   0,          0.00095961,          0.00095961,          0.00095961
                  53,              1.3527,              1.7623,              1.2386,             0.47744,             0.58332,             0.52154,             0.43227,                   0,                   0,                   0,          0.00095882,          0.00095882,          0.00095882
                  54,              1.2906,              1.7024,              1.2231,             0.45143,             0.56205,              0.5083,             0.41525,                   0,                   0,                   0,          0.00095802,          0.00095802,          0.00095802
                  55,              1.2969,              1.7365,              1.2378,             0.42491,             0.48642,              0.4458,             0.37683,                   0,                   0,                   0,          0.00095723,          0.00095723,          0.00095723
                  56,              1.3101,              1.7195,              1.2421,             0.47119,             0.59521,             0.50568,             0.37617,                   0,                   0,                   0,          0.00095644,          0.00095644,          0.00095644
                  57,              1.3225,              1.7154,              1.2451,             0.46972,             0.59784,             0.53377,             0.41088,                   0,                   0,                   0,          0.00095565,          0.00095565,          0.00095565
                  58,              1.2609,              1.6894,              1.2296,             0.46084,             0.57436,             0.48468,             0.39985,                   0,                   0,                   0,          0.00095486,          0.00095486,          0.00095486
                  59,              1.2452,              1.6787,              1.2224,             0.44502,             0.57753,             0.49597,             0.42529,                   0,                   0,                   0,          0.00095406,          0.00095406,          0.00095406
                  60,                1.29,              1.6994,              1.2394,             0.50209,             0.57137,             0.53139,             0.38935,                   0,                   0,                   0,          0.00095327,          0.00095327,          0.00095327
                  61,              1.2181,              1.6696,              1.2054,             0.50832,             0.58479,             0.54143,             0.46882,                   0,                   0,                   0,          0.00095248,          0.00095248,          0.00095248
                  62,              1.1656,               1.633,              1.1927,             0.45807,             0.60579,             0.51025,             0.43127,                   0,                   0,                   0,          0.00095169,          0.00095169,          0.00095169
                  63,              1.1756,              1.6201,              1.2074,             0.47143,             0.54917,             0.52122,             0.44085,                   0,                   0,                   0,           0.0009509,           0.0009509,           0.0009509
                  64,              1.1606,               1.628,              1.2089,             0.43175,             0.60701,             0.52524,             0.45541,                   0,                   0,                   0,           0.0009501,           0.0009501,           0.0009501
                  65,              1.0962,              1.6246,              1.1826,             0.45611,             0.58158,             0.50214,             0.44092,                   0,                   0,                   0,          0.00094931,          0.00094931,          0.00094931
                  66,              1.1005,              1.6304,              1.1957,              0.4455,             0.62249,             0.51083,             0.44035,                   0,                   0,                   0,          0.00094852,          0.00094852,          0.00094852
                  67,               1.087,              1.6142,              1.1925,             0.42925,             0.55901,             0.47814,             0.41351,                   0,                   0,                   0,          0.00094773,          0.00094773,          0.00094773
                  68,              1.0727,              1.5955,              1.1751,             0.47631,              0.5825,             0.51638,             0.45596,                   0,                   0,                   0,          0.00094694,          0.00094694,          0.00094694
                  69,              1.0496,              1.5819,              1.1785,             0.46884,             0.61746,             0.53527,             0.46738,                   0,                   0,                   0,          0.00094614,          0.00094614,          0.00094614
                  70,              1.0457,              1.5603,              1.1702,             0.45709,             0.60392,             0.52536,              0.4361,                   0,                   0,                   0,          0.00094535,          0.00094535,          0.00094535
                  71,               1.012,              1.5976,              1.1877,              0.4376,             0.54886,             0.49158,             0.43977,                   0,                   0,                   0,          0.00094456,          0.00094456,          0.00094456
                  72,             0.99122,              1.5743,              1.1786,             0.47829,             0.58425,              0.5343,             0.47701,                   0,                   0,                   0,          0.00094377,          0.00094377,          0.00094377
                  73,              1.0093,              1.5754,              1.1713,             0.44372,             0.66178,             0.55246,             0.49423,                   0,                   0,                   0,          0.00094298,          0.00094298,          0.00094298
                  74,             0.97883,              1.5398,              1.1582,              0.5276,             0.55203,             0.54026,             0.48856,                   0,                   0,                   0,          0.00094218,          0.00094218,          0.00094218
                  75,             0.96431,              1.5507,              1.1585,             0.50454,             0.59745,             0.55328,               0.506,                   0,                   0,                   0,          0.00094139,          0.00094139,          0.00094139
                  76,              1.0145,              1.5752,              1.1737,             0.48547,             0.63054,             0.54421,             0.47956,                   0,                   0,                   0,           0.0009406,           0.0009406,           0.0009406
                  77,              1.0095,              1.5462,              1.1716,             0.47919,             0.59585,             0.52368,             0.47216,                   0,                   0,                   0,          0.00093981,          0.00093981,          0.00093981
                  78,             0.94894,              1.5146,              1.1521,             0.47715,             0.59095,             0.53804,             0.48781,                   0,                   0,                   0,          0.00093902,          0.00093902,          0.00093902
                  79,             0.94238,               1.539,              1.1448,             0.51448,             0.55374,             0.55036,               0.497,                   0,                   0,                   0,          0.00093822,          0.00093822,          0.00093822
                  80,             0.93745,              1.5129,               1.157,             0.47705,             0.62134,             0.53806,             0.49018,                   0,                   0,                   0,          0.00093743,          0.00093743,          0.00093743
                  81,              1.0087,              1.5404,              1.1603,             0.51795,             0.58587,             0.57022,             0.51305,                   0,                   0,                   0,          0.00093664,          0.00093664,          0.00093664
                  82,             0.95168,              1.5078,              1.1577,             0.51066,             0.64322,             0.57467,             0.51981,                   0,                   0,                   0,          0.00093585,          0.00093585,          0.00093585
                  83,             0.91232,              1.4661,              1.1518,             0.58196,             0.56755,             0.59438,             0.53796,                   0,                   0,                   0,          0.00093506,          0.00093506,          0.00093506
                  84,             0.94702,              1.5403,              1.1455,             0.51939,             0.60112,             0.57417,             0.52103,                   0,                   0,                   0,          0.00093426,          0.00093426,          0.00093426
                  85,             0.92763,              1.5312,              1.1471,             0.46984,             0.64927,             0.55518,             0.50198,                   0,                   0,                   0,          0.00093347,          0.00093347,          0.00093347
                  86,             0.92845,               1.516,              1.1545,             0.51497,             0.62546,             0.58304,             0.52499,                   0,                   0,                   0,          0.00093268,          0.00093268,          0.00093268
                  87,             0.94073,              1.5559,              1.1557,             0.53076,             0.59256,             0.56149,             0.51446,                   0,                   0,                   0,          0.00093189,          0.00093189,          0.00093189
                  88,             0.91607,              1.5024,              1.1509,             0.55537,             0.54993,             0.56005,             0.51099,                   0,                   0,                   0,           0.0009311,           0.0009311,           0.0009311
                  89,             0.91007,              1.4925,              1.1449,             0.56027,             0.54164,             0.57872,             0.52541,                   0,                   0,                   0,           0.0009303,           0.0009303,           0.0009303
                  90,             0.90037,              1.5326,              1.1476,             0.49419,             0.56412,             0.56338,              0.5094,                   0,                   0,                   0,          0.00092951,          0.00092951,          0.00092951
                  91,             0.90343,              1.4869,              1.1467,             0.57287,             0.59167,             0.61691,             0.55751,                   0,                   0,                   0,          0.00092872,          0.00092872,          0.00092872
                  92,             0.88219,              1.4749,              1.1389,              0.4821,             0.58377,             0.54036,             0.48906,                   0,                   0,                   0,          0.00092793,          0.00092793,          0.00092793
                  93,              0.9014,              1.4875,               1.154,             0.49649,             0.58853,             0.53447,             0.48054,                   0,                   0,                   0,          0.00092714,          0.00092714,          0.00092714
                  94,             0.92057,              1.4908,              1.1511,             0.51427,             0.58356,             0.57421,             0.52501,                   0,                   0,                   0,          0.00092634,          0.00092634,          0.00092634
                  95,             0.89462,              1.4926,              1.1512,               0.547,             0.56747,              0.5825,             0.53429,                   0,                   0,                   0,          0.00092555,          0.00092555,          0.00092555
                  96,             0.90358,              1.4694,              1.1552,             0.51321,             0.62074,             0.58734,             0.53941,                   0,                   0,                   0,          0.00092476,          0.00092476,          0.00092476
                  97,             0.90253,              1.4901,              1.1467,             0.55912,             0.57099,             0.57392,             0.53015,                   0,                   0,                   0,          0.00092397,          0.00092397,          0.00092397
                  98,             0.90268,              1.5133,              1.1408,             0.61215,             0.52114,             0.59409,             0.54254,                   0,                   0,                   0,          0.00092318,          0.00092318,          0.00092318
                  99,             0.89936,              1.4512,              1.1582,             0.48166,             0.57707,             0.54559,             0.49977,                   0,                   0,                   0,          0.00092238,          0.00092238,          0.00092238
                 100,             0.89974,              1.4923,              1.1493,             0.57058,             0.59242,             0.60758,             0.55807,                   0,                   0,                   0,          0.00092159,          0.00092159,          0.00092159
                 101,              0.8969,              1.4509,              1.1489,             0.60192,             0.53945,             0.59957,             0.54871,                   0,                   0,                   0,           0.0009208,           0.0009208,           0.0009208
                 102,             0.88456,              1.4632,              1.1457,             0.55279,             0.58069,             0.58134,             0.53472,                   0,                   0,                   0,          0.00092001,          0.00092001,          0.00092001
                 103,             0.89404,              1.4553,              1.1364,             0.49634,             0.63773,             0.58165,             0.53307,                   0,                   0,                   0,          0.00091922,          0.00091922,          0.00091922
                 104,             0.88077,              1.4554,               1.145,             0.59997,             0.54639,             0.60164,             0.54936,                   0,                   0,                   0,          0.00091842,          0.00091842,          0.00091842
