                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1368,                 2.3466,                0.92303,                0.21879,                0.41049,                0.30287,                0.24752,                0.74951,                 1.5025,                0.79773,               0.065802,              0.0033409,              0.0033409
                      2,                0.91921,                 1.4545,                0.84694,                0.32217,                0.52433,                0.36692,                0.31236,                0.53347,                 1.2885,                0.72637,               0.031104,              0.0064884,              0.0064884
                      3,                 0.8381,                 1.3558,                0.81754,                0.32717,                0.56538,                0.38649,                0.22773,                 1.4547,                 1.3198,                 1.1464,              0.0083141,              0.0083141,              0.0083141
                      4,                0.72225,                 1.2331,                0.79168,                 0.4499,                0.52617,                0.46628,                0.36799,                0.76695,                  1.061,                0.79402,              0.0080211,              0.0080211,              0.0080211
                      5,                0.69155,                 1.1366,                0.78124,                0.40012,                0.58607,                0.47119,                 0.4101,                0.54422,                 1.0488,                0.73057,              0.0077281,              0.0077281,              0.0077281
                      6,                0.63723,                 1.0565,                0.77082,                0.45217,                0.60161,                0.51963,                0.45091,                0.55101,                 1.0083,                0.72768,              0.0074351,              0.0074351,              0.0074351
                      7,                0.62757,                 1.0379,                0.76511,                0.39619,                0.64452,                0.49698,                0.43972,                0.47399,                0.99569,                0.71707,              0.0071422,              0.0071422,              0.0071422
                      8,                0.57402,                0.98779,                0.74055,                0.52198,                0.53744,                0.52868,                 0.4744,                0.44596,                0.94598,                0.71004,              0.0068492,              0.0068492,              0.0068492
                      9,                0.57195,                 0.9757,                0.75507,                0.39775,                0.65182,                0.52963,                 0.4828,                0.42852,                0.96771,                0.71615,              0.0065562,              0.0065562,              0.0065562
                     10,                0.55045,                0.91831,                 0.7459,                0.50736,                0.55297,                0.55445,                 0.5018,                0.42031,                0.93053,                0.70611,              0.0062633,              0.0062633,              0.0062633
                     11,                0.53028,                0.90031,                0.74043,                0.52331,                0.59296,                0.58881,                0.53679,                0.42602,                0.87183,                0.70721,              0.0059703,              0.0059703,              0.0059703
                     12,                0.51811,                0.88848,                 0.7437,                0.51985,                0.59384,                0.60279,                0.38427,                 1.2627,                0.99321,                 1.0679,              0.0056773,              0.0056773,              0.0056773
                     13,                0.49604,                0.85339,                0.73856,                0.54573,                0.62913,                0.58354,                0.53191,                0.40368,                0.89302,                0.70523,              0.0053844,              0.0053844,              0.0053844
                     14,                0.48362,                0.83981,                0.73316,                0.51175,                0.63884,                0.59783,                0.54909,                0.39167,                0.86356,                0.69299,              0.0050914,              0.0050914,              0.0050914
                     15,                0.46727,                0.81029,                0.72901,                0.53647,                0.62657,                0.61484,                0.57937,                0.34119,                0.85336,                0.68858,              0.0047984,              0.0047984,              0.0047984
                     16,                0.45348,                0.80928,                0.71546,                0.53992,                0.65221,                 0.6155,                0.57899,                0.33326,                0.82546,                0.69079,              0.0045054,              0.0045054,              0.0045054
                     17,                0.44904,                0.75549,                0.72755,                0.51936,                 0.6586,                0.63562,                0.59619,                0.34474,                 0.8066,                0.69168,              0.0042125,              0.0042125,              0.0042125
                     18,                0.42846,                0.73885,                 0.7166,                0.60611,                0.63334,                0.66636,                0.58539,                0.48539,                0.80379,                0.72846,              0.0039195,              0.0039195,              0.0039195
                     19,                0.41771,                0.69816,                0.71377,                0.67106,                0.60116,                0.67202,                0.64149,                0.29682,                0.76557,                0.67909,              0.0036265,              0.0036265,              0.0036265
                     20,                0.41139,                0.69379,                0.71563,                0.59572,                0.61212,                 0.6461,                0.61676,                0.30205,                0.77259,                0.68038,              0.0033336,              0.0033336,              0.0033336
                     21,                0.32201,                0.61169,                0.67892,                0.67845,                   0.61,                0.67558,                0.63724,                0.30791,                0.77638,                 0.6851,              0.0030406,              0.0030406,              0.0030406
                     22,                0.32275,                0.58971,                0.67908,                0.56962,                0.67705,                 0.6702,                0.63385,                0.32291,                0.77385,                0.68407,              0.0027476,              0.0027476,              0.0027476
                     23,                0.30431,                0.55023,                0.68173,                0.62069,                0.64916,                0.68286,                0.64993,                0.30463,                0.78715,                0.68088,              0.0024547,              0.0024547,              0.0024547
                     24,                0.29237,                0.51443,                0.67515,                0.63904,                0.69184,                0.71866,                0.68493,                0.29767,                0.73534,                0.68085,              0.0021617,              0.0021617,              0.0021617
                     25,                0.28397,                0.48061,                0.67378,                0.62781,                0.70528,                0.71454,                0.68412,                0.27842,                0.73031,                0.67696,              0.0018687,              0.0018687,              0.0018687
                     26,                0.27103,                0.46184,                0.66341,                0.68852,                0.64532,                0.71808,                0.69071,                0.27525,                 0.7161,                0.67777,              0.0015757,              0.0015757,              0.0015757
                     27,                 0.2714,                0.44583,                0.66769,                0.61874,                0.72278,                0.71971,                 0.6951,                 0.2706,                0.70002,                0.67829,              0.0012828,              0.0012828,              0.0012828
                     28,                0.26368,                0.40538,                0.66552,                0.66961,                0.69953,                0.72727,                0.69875,                0.27315,                0.75152,                 0.6767,              0.0009898,              0.0009898,              0.0009898
                     29,                0.25877,                0.38014,                0.66383,                0.66815,                0.69572,                0.73052,                0.70586,                0.27103,                0.74127,                0.67958,             0.00069683,             0.00069683,             0.00069683
                     30,                0.24926,                0.34726,                0.66161,                0.66691,                0.72375,                0.73855,                0.71273,                0.26721,                0.69847,                0.67915,             0.00040386,             0.00040386,             0.00040386
