                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96446,                 2.4298,                0.84921,                0.27633,                0.55036,                0.27233,                0.24328,                0.42159,                 1.4791,                0.67683,                0.07002,              0.0022948,              0.0022948
                      2,                 0.7904,                 1.4821,                0.78988,                0.29873,                0.49548,                 0.3389,                 0.2927,                0.52542,                 1.3343,                0.69492,               0.039642,              0.0044564,              0.0044564
                      3,                0.82372,                 1.4135,                0.78729,                0.23958,                 0.5826,                0.32869,                0.27231,                0.59128,                 1.3362,                0.71301,               0.009111,              0.0064655,              0.0064655
                      4,                0.74669,                 1.3312,                0.77314,                0.25918,                0.56952,                0.32334,                0.20357,                 1.2858,                 1.4673,                 1.0824,              0.0064068,              0.0064068,              0.0064068
                      5,                0.66508,                 1.2665,                0.74448,                 0.3508,                0.57862,                0.41527,                0.24826,                 1.3794,                 1.3255,                 1.1381,              0.0061724,              0.0061724,              0.0061724
                      6,                0.62397,                 1.1884,                0.74046,                0.37133,                0.59388,                0.42892,                0.36924,                0.53082,                 1.1801,                0.69942,               0.005938,               0.005938,               0.005938
                      7,                0.58338,                 1.1514,                0.72118,                0.46696,                0.58725,                0.51414,                0.38596,                0.80978,                 1.1063,                0.84502,              0.0057036,              0.0057036,              0.0057036
                      8,                0.56597,                  1.116,                0.72296,                0.45815,                0.58037,                0.50658,                0.30316,                   1.32,                 1.2075,                 1.0796,              0.0054692,              0.0054692,              0.0054692
                      9,                0.54283,                   1.09,                0.71794,                0.44359,                 0.5957,                0.50414,                0.36179,                0.90072,                 1.1128,                0.83832,              0.0052348,              0.0052348,              0.0052348
                     10,                 0.5255,                 1.0626,                0.71564,                0.49827,                0.53718,                0.52643,                0.46752,                0.43399,                 1.0461,                 0.6753,              0.0050004,              0.0050004,              0.0050004
                     11,                0.52504,                 1.0284,                0.71108,                0.43541,                0.60875,                0.53469,                0.48603,                0.41056,                 1.0226,                0.67319,               0.004766,               0.004766,               0.004766
                     12,                0.49975,                 1.0126,                0.71206,                0.47968,                  0.634,                0.57129,                0.41523,                 0.8864,                 1.0387,                0.86283,              0.0045315,              0.0045315,              0.0045315
                     13,                0.49521,                0.97818,                0.70769,                0.52856,                  0.594,                 0.5629,                0.49798,                0.42332,                0.97817,                0.66952,              0.0042971,              0.0042971,              0.0042971
                     14,                0.45852,                0.96187,                0.69747,                0.56473,                0.58807,                0.61882,                0.56918,                0.36049,                0.90064,                0.66396,              0.0040627,              0.0040627,              0.0040627
                     15,                0.44143,                 0.9276,                0.68967,                0.45694,                0.69247,                 0.6009,                0.55007,                0.36673,                0.90549,                 0.6617,              0.0038283,              0.0038283,              0.0038283
                     16,                0.43762,                0.91963,                 0.6892,                0.54774,                0.56852,                0.58518,                0.54144,                0.33883,                0.89023,                0.65619,              0.0035939,              0.0035939,              0.0035939
                     17,                0.43602,                0.91906,                0.69648,                0.46831,                0.62667,                0.59842,                0.55411,                0.33395,                0.93305,                0.65342,              0.0033595,              0.0033595,              0.0033595
                     18,                0.41688,                0.86481,                0.68563,                0.52366,                0.60405,                0.59067,                0.38993,                 1.1227,                 1.0401,                0.98614,              0.0031251,              0.0031251,              0.0031251
                     19,                 0.4158,                0.85099,                0.68971,                0.57343,                0.60998,                0.64104,                0.59261,                 0.3518,                0.87979,                0.65575,              0.0028907,              0.0028907,              0.0028907
                     20,                0.39264,                 0.8362,                0.67323,                0.59376,                0.61704,                0.64572,                0.59822,                 0.3303,                0.84417,                0.65162,              0.0026563,              0.0026563,              0.0026563
                     21,                0.32095,                0.74482,                0.64559,                0.62419,                0.58162,                0.63769,                0.59703,                0.33942,                0.84597,                0.65987,              0.0024219,              0.0024219,              0.0024219
                     22,                0.32534,                0.73515,                0.64459,                0.54296,                0.63645,                0.62591,                0.59089,                  0.319,                0.84521,                0.65747,              0.0021875,              0.0021875,              0.0021875
                     23,                0.30928,                0.69689,                0.64444,                0.54591,                0.68882,                 0.6447,                0.60719,                0.29308,                0.82599,                0.64069,              0.0019531,              0.0019531,              0.0019531
                     24,                0.29607,                0.65198,                0.64007,                0.60185,                0.66301,                0.66633,                0.63523,                 0.2875,                0.79248,                 0.6437,              0.0017187,              0.0017187,              0.0017187
                     25,                0.28764,                0.62976,                0.63658,                 0.5944,                0.66614,                0.68416,                0.65081,                0.27132,                0.82325,                 0.6441,              0.0014843,              0.0014843,              0.0014843
                     26,                0.27734,                0.61602,                0.63279,                0.59827,                0.67257,                0.66453,                0.63404,                0.27625,                0.79807,                 0.6467,              0.0012499,              0.0012499,              0.0012499
                     27,                0.26944,                0.59465,                0.63504,                0.59664,                0.69932,                0.68843,                0.66007,                0.26103,                0.76338,                0.64558,              0.0010155,              0.0010155,              0.0010155
                     28,                0.25984,                0.55571,                0.63103,                0.58947,                0.73351,                0.70513,                0.67271,                0.26017,                0.76271,                 0.6398,             0.00078107,             0.00078107,             0.00078107
                     29,                0.25673,                0.55722,                0.63275,                0.60597,                0.68722,                0.69538,                0.66813,                0.26105,                0.76874,                0.64247,             0.00054666,             0.00054666,             0.00054666
                     30,                0.24821,                0.51269,                0.62812,                0.62021,                0.70932,                0.71393,                0.68492,                0.26108,                0.74046,                0.64024,             0.00031226,             0.00031226,             0.00031226
